,rhsE
Cr_1,0.005901376831907886
Cr_2,0.008834453351612162
Cr_3,0.022210883272594198
Cr_4,0.02549955846021372
Cr_5,0.028562813038198468
Cr_6,0.037473605035126166
Fe_1,-0.006291727121017908
Fe_2,-0.023467169817293517
Fe_3,-0.02340600242782859
Fe_4,-0.02586960473829841
Fe_5,-0.026146511215808056
Fe_6,-0.018404589999160538
Cd_1,0.006740362340117829
Cd_2,0.013960006196357377
Cd_3,0.022924744690512745
Cd_4,0.030406230640570606
Cd_5,0.03352175581278001
Cd_6,0.03796430014380657
Zn_1,0.0010818419863718118
Zn_2,0.00377540543009614
Zn_3,0.0092744539663978
Zn_4,0.014431477122922153
Zn_5,0.016252469805447218
Zn_6,0.012948182082887515
Cu_1,-0.00014640351847041217
Cu_2,-0.0004007364256842846
Cu_3,0.006195572179239866
Cu_4,0.009306592874341492
Cu_5,0.012954134483646369
Cu_6,0.011612431764574428
Pb_1,-0.0022540374677041965
Pb_2,0.0007183950738450589
Pb_3,0.004558256482390499
Pb_4,0.003584250683826393
Pb_5,0.002046880502816145
Pb_6,0.005768757634581102
