,fabR
Cr_1,-0.007829062296062493
Cr_2,-0.01570000878880418
Cr_3,-0.02099997921666339
Cr_4,-0.024959043144558248
Cr_5,-0.02908688208628888
Cr_6,-0.035916904707984164
Fe_1,-0.007407857790493283
Fe_2,-0.030985203145694664
Fe_3,-0.05949959518559465
Fe_4,-0.08136483201398535
Fe_5,-0.0951680204286659
Fe_6,-0.1202796002756557
Cd_1,-0.0003152103917102928
Cd_2,-0.0018907957913839387
Cd_3,-0.0002300942533385748
Cd_4,0.0025344832074820057
Cd_5,0.004405435505620454
Cd_6,0.009449613528344373
Zn_1,0.010710117355307773
Zn_2,0.030312642533935095
Zn_3,0.05603315293419423
Zn_4,0.08282101264240517
Zn_5,0.11466012613646792
Zn_6,0.1309328551576897
Cu_1,0.015154973118792572
Cu_2,0.02811268241129695
Cu_3,0.03903341243664556
Cu_4,0.04585081801825544
Cu_5,0.05177006647881676
Cu_6,0.056142730902805166
Pb_1,-0.0028484654767595642
Pb_2,-0.00972807755194622
Pb_3,-0.0062967366454328285
Pb_4,0.002395273775047077
Pb_5,0.016363180444858447
Pb_6,0.024401976088773397
