,b4501
control__wt_glc__1,3.5647556394
control__wt_glc__2,3.3904815887
fur__wt_dpd__1,0.8101550736
fur__wt_dpd__2,2.05015879
fur__wt_fe__1,3.1958941874
fur__wt_fe__2,2.6333962097
fur__delfur_dpd__1,0.0
fur__delfur_dpd__2,0.0
fur__delfur_fe2__1,3.7192067183
fur__delfur_fe2__2,3.7746968043
acid__wt_ph5__1,0.0
acid__wt_ph5__2,0.0
acid__delgadx_ph5__1,0.0
acid__delgadx_ph5__2,1.5516761445
acid__delgadw_ph5__1,1.3338786775
acid__delgadw_ph5__2,0.0
acid__delgade_ph5__1,0.8098440513
acid__delgade_ph5__2,1.4144355462
oxidative__wt_pq__1,0.0
oxidative__wt_pq__2,0.0
oxidative__deloxyr_pq__1,0.0
oxidative__deloxyr_pq__2,0.0
oxidative__delsoxr_pq__1,0.0
oxidative__delsoxr_pq__2,0.0
oxidative__delsoxs_pq__1,1.6719710121
oxidative__delsoxs_pq__2,0.0
nac_ntrc__wt_csn__1,3.5620139447
nac_ntrc__wt_csn__2,4.467151509
nac_ntrc__wt_cytd__1,3.7724399543000002
nac_ntrc__wt_cytd__2,3.0763959225
nac_ntrc__wt_gln__1,2.8271129619
nac_ntrc__wt_gln__2,3.5630571112
nac_ntrc__bw_delnac_csn__1,1.0646554971
nac_ntrc__bw_delnac_csn__2,0.0
nac_ntrc__bw_delnac_cytd__1,0.9313987007000001
nac_ntrc__bw_delnac_cytd__2,0.9087586320000001
nac_ntrc__bw_delnac_gln__1,0.0
nac_ntrc__bw_delnac_gln__2,0.0
nac_ntrc__bw_delnac_nh4__1,0.0
nac_ntrc__bw_delnac_nh4__2,0.0
misc__wt_no_te__1,1.6643208915
misc__wt_no_te__2,0.0
misc__bw_delcbl__1,1.0536621714
misc__bw_delcbl__2,1.4843195701
misc__bw_delfabr__1,0.0
misc__bw_delfabr__2,1.1917787953
misc__bw_delfadr__1,0.0
misc__bw_delfadr__2,0.0
misc__nitr_031__1,0.0
omics__wt_glu__1,0.0
omics__wt_glu__2,0.9785720361
omics__wt_gly__1,0.0
omics__wt_gly__2,0.0
omics__wt_thr__1,1.9193919835000002
omics__wt_thr__2,0.0
omics__bw_ac__1,4.1357087961
omics__bw_ac__2,3.8796986848
omics__bw_fum__1,3.7165017637
omics__bw_fum__2,3.6942010215
omics__bw_glc__1,3.8790269127
omics__bw_glc__2,4.1043702251
omics__bw_pyr__1,2.6404346342
omics__bw_pyr__2,3.7089986709
ompr__wt_nacl__1,2.5815552407
ompr__wt_nacl__2,1.082160536
ompr__bw_delompr_nacl__1,1.2422641296
ompr__bw_delompr_nacl__2,0.0
minspan__wt_ade__1,5.1829283617
minspan__wt_glc__1,4.4497135454
minspan__wt_glc__2,4.575225021
minspan__wt_glc__3,4.576010491
minspan__wt_glc__4,4.889728677
