,hipB
Cr_1,0.0026126363459489602
Cr_2,0.004963804852200029
Cr_3,0.007043992205674702
Cr_4,0.008239222982386128
Cr_5,0.0068765414028670035
Cr_6,0.003555943918327325
Fe_1,-0.0018327367208888206
Fe_2,-0.01139225373490179
Fe_3,-0.022566680574860352
Fe_4,-0.043290416013285135
Fe_5,-0.04875153641656864
Fe_6,-0.0094690654366405
Cd_1,-0.0013577309915831545
Cd_2,-0.0023455494405415353
Cd_3,-0.005820750696710182
Cd_4,-0.01186819954942383
Cd_5,-0.02007903799760198
Cd_6,-0.019011491943166745
Zn_1,-0.0207186114342888
Zn_2,-0.03172389487855038
Zn_3,-0.01230382039263894
Zn_4,0.0005379385305265579
Zn_5,0.008309054399308265
Zn_6,0.01179713655191289
Cu_1,0.0029610149351446072
Cu_2,0.004212077521961933
Cu_3,0.015805914418644262
Cu_4,0.030019972296628783
Cu_5,0.04204957665395025
Cu_6,0.05034626788471857
Pb_1,-0.0011156390661733301
Pb_2,-0.00020312231298522964
Pb_3,-0.0026875558874166713
Pb_4,0.001297068189447644
Pb_5,0.015590228991203662
Pb_6,0.0260590961188485
