,ysgA
Cr_1,-0.0029596707550971343
Cr_2,-0.0056332510275782025
Cr_3,-0.004067937053027348
Cr_4,-0.002640247727939727
Cr_5,-0.0032056636548141817
Cr_6,-0.005202711540340088
Fe_1,0.008607065317302296
Fe_2,0.017358800676826915
Fe_3,0.020048610732411758
Fe_4,0.023225937073237564
Fe_5,0.10508140257781202
Fe_6,0.21065675076461024
Cd_1,0.007314851643269803
Cd_2,0.012755176575760028
Cd_3,0.017349767825664546
Cd_4,0.0211784069489934
Cd_5,0.02129991029471204
Cd_6,0.02615987482129284
Zn_1,-0.003735274245627299
Zn_2,-0.003653260100081371
Zn_3,0.009985145146227108
Zn_4,0.03915959206532238
Zn_5,0.05892010987539631
Zn_6,0.07388328037176603
Cu_1,-0.00038846963279792843
Cu_2,0.005723939071654292
Cu_3,0.0066634842851749174
Cu_4,0.005066250158371272
Cu_5,0.003424681953744741
Cu_6,0.0008784439224664449
Pb_1,0.013192617403814468
Pb_2,0.033427038697244164
Pb_3,0.03975279141433782
Pb_4,0.05993456196984076
Pb_5,0.06452849153500212
Pb_6,0.1092177927115076
