,ymcC
Cr_1,-0.0014315042316707385
Cr_2,-0.0007622132469998004
Cr_3,0.005398368514122731
Cr_4,0.00905524574470448
Cr_5,0.01158812166640759
Cr_6,0.01456454439328835
Fe_1,-0.000392940588761004
Fe_2,-0.013723158926987713
Fe_3,-0.026974203263970327
Fe_4,-0.0392746947027375
Fe_5,-0.047246315875125566
Fe_6,-0.049390395298263716
Cd_1,0.0010093581541563517
Cd_2,0.004355274426596067
Cd_3,0.005445972035017706
Cd_4,0.006408871758368064
Cd_5,0.0048233405234455904
Cd_6,0.008628611335105188
Zn_1,-0.0020564050187387344
Zn_2,-0.0006236877431251303
Zn_3,0.005475806661630318
Zn_4,0.014233474580575146
Zn_5,0.02240907422577437
Zn_6,0.0290122572425204
Cu_1,0.004424100853572585
Cu_2,0.008977422239166831
Cu_3,0.013865532812373958
Cu_4,0.017460242223964553
Cu_5,0.020655754019238182
Cu_6,0.02464615727491896
Pb_1,0.004088759080854098
Pb_2,0.007938645548045409
Pb_3,0.011982508028487064
Pb_4,0.01583574702183347
Pb_5,0.022266003033857708
Pb_6,0.024513110576382082
