,yebE
Cr_1,-0.006161806636761556
Cr_2,-0.016403171551837605
Cr_3,-0.020952726430583518
Cr_4,-0.021086635133205314
Cr_5,-0.019275162992060828
Cr_6,-0.014707254067648716
Fe_1,-0.002000915870847829
Fe_2,-0.0011229746809388126
Fe_3,0.008230078275419571
Fe_4,0.014484512665209082
Fe_5,0.02010756233221905
Fe_6,0.03603048414216749
Cd_1,-0.0020499129549702935
Cd_2,-0.005096825207375456
Cd_3,-0.007146140765925578
Cd_4,-0.009770615267182722
Cd_5,-0.016085899787013816
Cd_6,-0.01860718706078562
Zn_1,-0.006041444699061789
Zn_2,-0.003785348514472983
Zn_3,0.004914656997889638
Zn_4,0.016255588268327018
Zn_5,0.0218533032032008
Zn_6,0.02474090304074613
Cu_1,0.0072609012107189355
Cu_2,0.012349640290720082
Cu_3,0.01123935921222986
Cu_4,0.005635942844360946
Cu_5,0.0018442669577221477
Cu_6,-0.0012386359147488481
Pb_1,-0.008883199365230701
Pb_2,0.04047896569598477
Pb_3,0.06040873250131674
Pb_4,0.06030900004485725
Pb_5,0.04814520870677688
Pb_6,0.03659316088207365
