,ydeP
Cr_1,-0.006305051869947306
Cr_2,-0.012349863494895318
Cr_3,-0.015558859250571154
Cr_4,-0.013348609866784128
Cr_5,0.0009440211561181431
Cr_6,0.014110027141210518
Fe_1,-0.01602333382856753
Fe_2,-0.03206537988877862
Fe_3,-0.04873585757604754
Fe_4,-0.06804563703901967
Fe_5,-0.09509157949319448
Fe_6,-0.11505417200617192
Cd_1,0.007898262433649527
Cd_2,0.01762490360792896
Cd_3,0.02541795627967968
Cd_4,0.0357349290978759
Cd_5,0.036527849281429284
Cd_6,0.04210501951743538
Zn_1,-0.07914635960618807
Zn_2,-0.08957892992166518
Zn_3,-0.03266573083491858
Zn_4,0.1180969537417306
Zn_5,0.3158499560424388
Zn_6,0.4585921576341408
Cu_1,-0.0028921094875140885
Cu_2,-0.0037830505782776775
Cu_3,-0.0027386730895634986
Cu_4,-0.0005741705054188032
Cu_5,0.001690499426235721
Cu_6,0.0013086402604556558
Pb_1,0.010873943003110231
Pb_2,0.02049032787993672
Pb_3,0.031914018459242036
Pb_4,0.04492347688625272
Pb_5,0.05747203154911185
Pb_6,0.07100739187836895
