,kbaZ
Cr_1,-0.001319979853769918
Cr_2,0.00325699529457474
Cr_3,0.008778375306770033
Cr_4,0.014061025342897616
Cr_5,0.010844985546690054
Cr_6,0.00427929499779815
Fe_1,-0.009508903273589423
Fe_2,-0.022198196435722826
Fe_3,-0.02420777624798433
Fe_4,-0.014550979744229682
Fe_5,-0.0011240873967820779
Fe_6,0.012142058820070878
Cd_1,-0.01567221574005239
Cd_2,-0.028415084422038925
Cd_3,-0.03991881977231914
Cd_4,-0.04354531474792056
Cd_5,-0.04248204134990453
Cd_6,-0.02529242942860153
Zn_1,-0.010763816595298957
Zn_2,-0.0064703677115265
Zn_3,0.0036734568869924923
Zn_4,0.02134924233350272
Zn_5,0.03039147239680688
Zn_6,0.028585015762325
Cu_1,0.002937049192774323
Cu_2,0.0095811556682321
Cu_3,0.012491798632899278
Cu_4,0.0155191992743089
Cu_5,0.015761650925303818
Cu_6,0.02184191844045876
Pb_1,-0.0016538633776891688
Pb_2,0.00544552358668877
Pb_3,0.007826914673821404
Pb_4,0.00807402190616018
Pb_5,0.014709692954519337
Pb_6,0.015188786983165803
