,-0.11303086573846155,-0.09419238811538463,-0.07535391049230772,-0.0565154328692308,-0.03767695524615389,-0.01883847762307697,-5.551115123125783e-17,0.01883847762307686,0.037676955246153776,0.05651543286923069,0.07535391049230761,0.09419238811538452,0.11303086573846144,0.13186934336153835,0.15070782098461527,0.16954629860769221,0.1883847762307691,0.207223253853846,0.22606173147692293,0.24490020909999988
thresh,-0.12245010455000001,0.12245010455000001,2,,,,,,,,,,,,,,,,,
unreg,0,1,7,16,93,402,740,354,72,22,4,0,0,1,0,0,0,0,1,0
NrdR,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,3,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['SP5448_03520'],[],[],[],[],['SP5448_09065'],[]
NrdR_genes,[],[],[],[],[],[],[],[],[],[],[],['nrdE_2'],['nrdF_1'],['nrdH' 'nrdF_2' 'nrdE_1' 'nrdI_1'],[],[],['nrdG' 'yceM' 'XK27_10930'],[],['nrdD'],[]
