,A,NrdR
R2,,0.25245645648761683
xmin,,-2.4670255182
xmid,,
xmax,,0.3052855263
ystart,,-3.4773390963016526
yend,,0.5197392399990988
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,0.5109317119,-0.2140978691
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.0629196644,0.0236582176
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,-0.4480120476,0.1904396516
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,-5.6356234442,-1.8713206580000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,-5.5207656754,-2.0868116738999998
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-3.4540796862,-0.7468879518
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,-5.6178556869000005,-2.4670255182
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,-5.4374892715,-2.2772343332
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,-5.0380322338,-1.829320757
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,-0.7589744617,0.2272771257
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-0.9164035415,-0.07394302550000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,2.8249211121,0.2354029352
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,-1.643935367,-0.07398074560000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-1.7116150522,0.0892876464
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,0.8587335723,0.1693119696
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,2.6508553246,-0.0600640661
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,0.2575581433,-0.1119897322
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-1.0632379991,0.0385736208
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,-1.926315882,-0.23449539900000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-0.6989407636,-0.0865582672
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-0.3545255169,-0.001401253
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.001176895,0.1341474904
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,1.3357751428,-0.0606334174
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,2.5542293332,-0.0131873124
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,0.3642521984,-0.003042856
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-1.2811085574,-0.047419221000000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.547414295,0.0861470275
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,0.1888852707,-0.10644705600000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-0.20880329690000002,0.0014275131
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,-1.0175870591,-0.1084129774
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,-4.590133668,-1.5951266783
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,-3.9695301543,-2.1779211748
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,-2.7566283445,-1.6533032558
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,0.8329588289000001,-1.7375139637
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-3.7446768013,-1.2190256843
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,-0.5282571913,-1.4043026603
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,1.4579966366,-1.3779705332
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,-2.1396887593,-1.6783342990999999
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,-4.0420998579,-1.6785077585
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,4.0921607875,-1.112976451
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,2.9098080784,-1.1627036563
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,-3.9174165424,-1.7018187955
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,-4.3429732435,-1.5902651863
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,-3.8252945083,-1.6743177614
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,-1.8596739059,-2.1776169118
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,-2.1271802069,-1.7156829926000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,-2.1113456557,-2.3841424981
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,-2.2051545375,-1.916894234
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-5.5216478839,-1.2316428508000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-7.4583535933,-1.1655376291
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-6.5857810583,-1.1755287505
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,0.3503367569,-0.075637471
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.0788381296,-0.0073116335
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,-0.4291748865,0.08294910450000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,2.4589984703,-1.3135879272
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,1.3882043357,-0.6570329763
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,1.6173188169000001,-0.6544321184
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,1.2281434572,-0.7578057098000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,0.46311387270000004,-0.0298253487
