,yhiR
Cr_1,0.0007865309917228309
Cr_2,0.0019334131591499464
Cr_3,0.004471227179640686
Cr_4,0.005657084293060218
Cr_5,0.002072119357453418
Cr_6,-0.0028309840658787013
Fe_1,-0.004634747153231128
Fe_2,-0.012579433179904785
Fe_3,-0.03219195774724476
Fe_4,-0.06110895480992056
Fe_5,-0.07195646324340524
Fe_6,-0.07969075716459413
Cd_1,0.00019513156220631454
Cd_2,-0.001831302140147502
Cd_3,-0.0017915248988765637
Cd_4,0.00025267960824520747
Cd_5,-0.002798601230289325
Cd_6,-0.0037297749035103225
Zn_1,0.009319004491248744
Zn_2,0.010779781007304088
Zn_3,-0.004298530219640063
Zn_4,-0.007202883546318019
Zn_5,-0.008128100053912877
Zn_6,-0.003691765532759972
Cu_1,0.0035632905828877157
Cu_2,0.006970081905956273
Cu_3,0.014751937554741116
Cu_4,0.008683197173850639
Cu_5,0.0023928015812820576
Cu_6,0.00671835747968386
Pb_1,0.007389513294231277
Pb_2,0.021917786397666787
Pb_3,0.03061620618689807
Pb_4,0.03671767999238263
Pb_5,0.03692086478341927
Pb_6,0.05132959555076015
