,kil
Cr_1,-0.0005431937496577
Cr_2,0.002163741358847252
Cr_3,0.012677183647337895
Cr_4,0.01841907829223529
Cr_5,0.028646470080163286
Cr_6,0.025012798480352073
Fe_1,-0.035042011610760336
Fe_2,-0.07964055639978071
Fe_3,-0.11957340587452946
Fe_4,-0.15163618760016134
Fe_5,-0.18473154025444005
Fe_6,-0.19730819806610614
Cd_1,0.004851209522427339
Cd_2,0.012718308690686674
Cd_3,0.025973451614353518
Cd_4,0.03705376675699778
Cd_5,0.044545773339435366
Cd_6,0.05808883250859464
Zn_1,-0.03723084456201035
Zn_2,-0.0216230979677507
Zn_3,0.019529151722313846
Zn_4,0.008231488602276313
Zn_5,0.030206672251345955
Zn_6,0.030338594448956095
Cu_1,0.003337245165916961
Cu_2,0.017286298892109482
Cu_3,0.037432128786361485
Cu_4,0.049614340427179715
Cu_5,0.06455466298504026
Cu_6,0.08355699031468346
Pb_1,-0.003218436350301563
Pb_2,-0.006423606722261431
Pb_3,-0.004094768472033536
Pb_4,-0.00479889995964059
Pb_5,0.0011088149918756208
Pb_6,0.003965028165710207
