,sfmC
Cr_1,-0.0013339531116305587
Cr_2,-0.0043403289450149535
Cr_3,-0.0062871254887174426
Cr_4,-0.002715956451496202
Cr_5,-0.0027898023527631647
Cr_6,0.0006909972565976414
Fe_1,-0.009317980928604294
Fe_2,-0.022507799187336426
Fe_3,-0.05088839450923862
Fe_4,-0.07356159647226848
Fe_5,-0.08569289772066642
Fe_6,-0.09618412818472401
Cd_1,0.005687654589414021
Cd_2,0.010703071916900626
Cd_3,0.011664049341578634
Cd_4,0.02292340802608958
Cd_5,0.024598919868778928
Cd_6,0.03596974455203406
Zn_1,0.011574489880596624
Zn_2,0.026449741384342904
Zn_3,0.01034736983976152
Zn_4,0.00022387854216810316
Zn_5,0.005852600224036249
Zn_6,-0.0031744199522535685
Cu_1,-0.004430033675193889
Cu_2,-0.00272161017769285
Cu_3,-0.005233558371465347
Cu_4,0.00309873605253585
Cu_5,0.009189865122085887
Cu_6,0.004740566825079847
Pb_1,0.0022139377137536487
Pb_2,0.005056517869953158
Pb_3,0.003042508278292711
Pb_4,0.010475010267841556
Pb_5,0.012068632336984651
Pb_6,0.02078876190659398
