,intZ
Cr_1,-0.003981450331396456
Cr_2,-0.0080771393194812
Cr_3,-0.010231653135369384
Cr_4,-0.011723291242557079
Cr_5,-0.015012616595631191
Cr_6,-0.024593084516636974
Fe_1,-0.02923121204501034
Fe_2,-0.07378108169980847
Fe_3,-0.12175073680200672
Fe_4,-0.17545753751368964
Fe_5,-0.21807427319300152
Fe_6,-0.2537140438145145
Cd_1,0.0021563573662469024
Cd_2,0.0030639104188173913
Cd_3,0.003909139059057832
Cd_4,0.016002241038640914
Cd_5,0.017758530055221558
Cd_6,0.02488454269294049
Zn_1,-0.013514486318361135
Zn_2,-0.013513436325302278
Zn_3,-0.0021802519797317703
Zn_4,0.012233500380045706
Zn_5,0.03237191810862646
Zn_6,0.05154096742383912
Cu_1,0.0018210481408090144
Cu_2,0.004139716855084803
Cu_3,0.004588552694590538
Cu_4,0.00446860607957
Cu_5,0.003646985997762644
Cu_6,0.002853608281968109
Pb_1,0.008129980734961606
Pb_2,0.012650637685542785
Pb_3,0.01762830729098953
Pb_4,0.01808796158396999
Pb_5,0.017929384870836458
Pb_6,0.03071122989098933
