,motA
Cr_1,0.006810730195258296
Cr_2,0.013022624535155493
Cr_3,0.015462882980125506
Cr_4,0.01873296640971461
Cr_5,0.016578911096468085
Cr_6,0.013433269887901965
Fe_1,-0.006290380680779491
Fe_2,-0.01979584794104597
Fe_3,-0.029767825090141163
Fe_4,-0.03695006689653694
Fe_5,-0.038347563092960106
Fe_6,-0.03617976006309385
Cd_1,-0.0023043911431243577
Cd_2,-0.003242134487330233
Cd_3,0.003433705421764677
Cd_4,0.00892279987300711
Cd_5,0.015447881393277891
Cd_6,0.020288183915028343
Zn_1,-0.004416593928490992
Zn_2,-0.003988542949807215
Zn_3,0.012296514666481614
Zn_4,0.028978546363037757
Zn_5,0.0470304641783365
Zn_6,0.06319460131513988
Cu_1,0.00012137659104015779
Cu_2,0.0044077815135449
Cu_3,0.00570481182353574
Cu_4,-0.0019068954685055395
Cu_5,-0.005470684172167524
Cu_6,-0.005673667103028917
Pb_1,0.004500940195868989
Pb_2,0.006263093530290445
Pb_3,0.006706691135643743
Pb_4,0.00511255095949205
Pb_5,0.007550162519824826
Pb_6,0.01057137999272
