,manY
Cr_1,0.003284521693625919
Cr_2,0.012031983812876918
Cr_3,0.01825836850809619
Cr_4,0.019727854876223604
Cr_5,0.01656437569380399
Cr_6,0.00661604468266802
Fe_1,-0.014480691871674781
Fe_2,-0.037737486537250835
Fe_3,-0.05457905575759068
Fe_4,-0.06379495138931113
Fe_5,-0.06656832885913462
Fe_6,-0.06799968634900493
Cd_1,0.0024451617128004675
Cd_2,0.002898420437576844
Cd_3,0.007026005569246781
Cd_4,0.010989766483930343
Cd_5,0.012239347312992909
Cd_6,0.013359723966401057
Zn_1,0.0016609770959795705
Zn_2,0.006072215604235764
Zn_3,0.016060623136818518
Zn_4,0.03194923965130119
Zn_5,0.04749770561778269
Zn_6,0.059027426972002486
Cu_1,-0.004296731403890956
Cu_2,-0.001410416901574322
Cu_3,0.00470532569842997
Cu_4,0.004397714053235193
Cu_5,0.007050767663746613
Cu_6,0.013027753801287251
Pb_1,-0.0010597250340460267
Pb_2,0.0009155349444898297
Pb_3,0.0019490365245269426
Pb_4,-0.0010702413190414339
Pb_5,-0.0013175695393673305
Pb_6,0.006081809927702372
