,A,CusR,HprR,CueR
R2,,0.7304488357336413,0.3190805476798497,0.03147447748607268
xmin,,-6.944846208,-5.7887730305,-3.260627732
xmid,,-1.9381701566489242,-0.7085733671739137,-1.0139819435947486
xmax,,2.641974225,2.5373782058504943,2.009821649
ystart,,-11.334373634958773,-8.464904538533899,-3.3683758138498097
yend,,12.13075989665838,8.909557583406368,-9.75784999636233
control__wt_glc__1,-0.129854197868218,-0.094533210999999,-0.1663475805000001,-0.1509942259999999
control__wt_glc__2,0.1298541978682712,0.0945332109999999,0.1663475805000001,0.1509942259999999
fur__wt_dpd__1,-13.232672679397938,-1.912686514,-0.7380847665000001,1.4451215589999995
fur__wt_dpd__2,-13.326436020578868,-1.7163752449999992,-0.8331730244999997,1.399832528
fur__wt_fe__1,-9.481634907642135,-1.899270948,-0.3762709124999999,-0.14818736800000032
fur__wt_fe__2,-8.245451054611195,-1.7894877129999998,-0.5302086054999995,-0.08800409200000026
fur__delfur_dpd__1,-13.209856403680128,-2.0201896879999994,-0.7122366314999997,1.557224284000001
fur__delfur_dpd__2,-13.135921678221113,-1.8469349579999996,-0.6546254544999996,1.5332954259999996
fur__delfur_fe2__1,-3.730350036740495,-0.8857752729999993,-0.21324198949999928,0.08724907500000079
fur__delfur_fe2__2,-3.861063599933904,-1.012030831999998,-0.028624928499999317,-0.10496386400000013
acid__wt_ph5__1,-8.467119530670768,-1.5996277209999992,-0.5324571884999996,0.7228549490000002
acid__wt_ph5__2,-8.583835787603073,-1.4739447849999996,-0.5531444624999997,0.876165759
acid__delgadx_ph5__2,-8.136226309786382,-1.531940420999999,-0.6997138014999997,0.3484757280000004
acid__delgadw_ph5__1,-6.604931276287925,-1.2630120150000002,-0.4748669914999999,0.7777941969999986
acid__delgadw_ph5__2,-6.425616497260109,-1.2267178619999992,-0.4548288294999994,0.8136383450000002
acid__delgade_ph5__1,-8.171724011857624,-1.4223132839999997,-0.4105632495,0.8402734459999994
acid__delgade_ph5__2,-8.327214991703732,-1.495320507999998,-0.5678348094999999,0.8108316950000011
oxidative__wt_pq__1,-3.3860250518606323,0.3185407140000001,-0.6162869175000001,0.8356758690000001
oxidative__wt_pq__2,-3.095844446860947,0.2878791070000002,-0.7552680054999996,0.9364354229999998
oxidative__deloxyr_pq__1,-0.5768985756766942,0.3633427780000007,-0.6789011444999993,0.6339035119999998
oxidative__deloxyr_pq__2,-0.4382701637168067,0.37690755400000064,-0.7123403444999994,0.727391764
oxidative__delsoxr_pq__1,-4.006177306139344,0.12384906300000065,-0.4387824765000001,0.870896353
oxidative__delsoxr_pq__2,-4.267191636046427,0.33121127500000025,-0.5014988444999995,0.944128752
oxidative__delsoxs_pq__1,-4.596229619690216,0.4505360710000002,-0.32056076250000043,1.2377641859999988
oxidative__delsoxs_pq__2,-4.5094616396515805,0.4784216560000001,-0.4379327574999996,1.2516071700000009
nac_ntrc__wt_csn__1,-5.794476866883659,-0.6921267779999996,-0.2423114855000001,0.9108092059999996
nac_ntrc__wt_csn__2,-5.573118280596722,-0.5425433540000011,-0.0037651465000001494,0.9243399290000004
nac_ntrc__wt_cytd__1,-11.88363704125323,-1.996123319,-0.4654694775000001,0.18678810599999984
nac_ntrc__wt_cytd__2,-11.765786934441758,-1.7858489739999994,-0.4394411155000002,0.17198837499999975
nac_ntrc__wt_gln__1,-12.215882622264424,-1.8074892989999995,-0.4703830374999996,0.8234752350000011
nac_ntrc__wt_gln__2,-11.868445720601173,-1.3940498179999992,-0.5477767714999997,0.8625176029999997
nac_ntrc__bw_delnac_csn__1,-7.053680669836093,-0.6262505550000004,-0.11382133149999962,1.544721785999999
nac_ntrc__bw_delnac_csn__2,-5.068369447414724,-0.17519245799999972,-0.7690503915000004,2.009821649
nac_ntrc__bw_delnac_cytd__1,-8.373981532019023,-1.4120297829999997,-0.4569771944999994,0.5421475309999995
