,ydcK
Cr_1,0.000511365430799093
Cr_2,0.004093594191499296
Cr_3,0.014806663393561919
Cr_4,0.028770031005405882
Cr_5,0.035728740283901037
Cr_6,0.04099369056898428
Fe_1,-0.018296042434499296
Fe_2,-0.05843080461203291
Fe_3,-0.11918647866903645
Fe_4,-0.1900557621401753
Fe_5,-0.2576493970190237
Fe_6,-0.3097288424395283
Cd_1,0.000566150890933642
Cd_2,0.009641926547990716
Cd_3,0.017347674245200406
Cd_4,0.031121529057460868
Cd_5,0.042739323874386816
Cd_6,0.06055413063583578
Zn_1,-0.05903986167391121
Zn_2,-0.0772605364571505
Zn_3,-0.11306627860010725
Zn_4,-0.22306111125555766
Zn_5,-0.18785834966336848
Zn_6,-0.2494612289116943
Cu_1,0.0016713301369848928
Cu_2,0.0036595021872712187
Cu_3,-0.0001282115583598823
Cu_4,-0.0048799104142745
Cu_5,-0.007380824782770289
Cu_6,-0.007314616527047808
Pb_1,0.014548849259030713
Pb_2,0.035526812977721485
Pb_3,0.060603644895561776
Pb_4,0.08696190929335834
Pb_5,0.10053984270158102
Pb_6,0.12385389150636865
