,-0.1544244048445765,-0.13726613763962356,-0.12010787043467061,-0.10294960322971766,-0.08579133602476471,-0.06863306881981177,-0.05147480161485882,-0.03431653440990587,-0.01715826720495292,2.7755575615628914e-17,0.017158267204952976,0.034316534409905924,0.05147480161485887,0.06863306881981182,0.08579133602476477,0.10294960322971772,0.12010787043467067,0.13726613763962361,0.15442440484457656,0.1715826720495295
thresh,-0.06005393521733531,0.06005393521733531,2,,,,,,,,,,,,,,,,,
unreg,1,0,0,3,4,4,22,85,842,3655,872,68,7,0,0,2,0,3,1,0
RoxR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
unreg_genes,['PA2381'],[],[],['cioA' 'PA1550' 'PA1123'],['cioB' 'PA3928' 'PA1551' 'PA1549'],['PA1852' 'PA0541' 'PA3785' 'PA0713'],[],[],[],[],[],[],[],[],[],['PA0113' 'PA0112'],[],['PA0111' 'PA0110' 'PA0107'],['PA1190'],[]
RoxR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['coIII'],[],['coxB' 'coxA'],[],[]
