,ydcG
Cr_1,0.004593456327124396
Cr_2,0.008801069571961598
Cr_3,0.018558371676168545
Cr_4,0.02966190174050177
Cr_5,0.03070417050377775
Cr_6,0.030556496814108783
Fe_1,-0.0035489969305442398
Fe_2,-0.02353013516613172
Fe_3,-0.0394093471534
Fe_4,-0.056891168928374515
Fe_5,-0.06352026909906619
Fe_6,-0.055414134495860114
Cd_1,0.0038427699079193072
Cd_2,0.010879543970029954
Cd_3,0.01662995848374188
Cd_4,0.023941780290499776
Cd_5,0.027551492086772125
Cd_6,0.038721960701372085
Zn_1,0.009703439633113277
Zn_2,0.024630255042472345
Zn_3,0.01828761157194108
Zn_4,0.01981519226680452
Zn_5,0.029618041659686706
Zn_6,0.033716216504323576
Cu_1,0.0044150185886587855
Cu_2,0.01138840647076442
Cu_3,0.0242700721110898
Cu_4,0.03614383445157068
Cu_5,0.04078737936112842
Cu_6,0.05402120184229822
Pb_1,0.003931151682815366
Pb_2,0.011545355163181031
Pb_3,0.021174803315913017
Pb_4,0.03070541138560703
Pb_5,0.04082601755983799
Pb_6,0.05677330248646605
