,ybbL
Cr_1,0.0025865012780588235
Cr_2,0.004684349035987418
Cr_3,0.005504225323121979
Cr_4,0.006566915069170638
Cr_5,0.00886209846174906
Cr_6,0.011141009093702107
Fe_1,-0.012033588708511187
Fe_2,-0.0263790473661478
Fe_3,-0.0266685001642105
Fe_4,-0.030058445239256236
Fe_5,-0.02553068979890784
Fe_6,-0.02113483719268661
Cd_1,0.0001655525694328886
Cd_2,0.0036274920307985507
Cd_3,-0.00024651947124802617
Cd_4,-0.0017753471738281355
Cd_5,-0.010905537372321087
Cd_6,-0.01105986640434293
Zn_1,-0.004676467732341646
Zn_2,-0.001984283291331098
Zn_3,0.00733185776565571
Zn_4,0.02135279588694388
Zn_5,0.039459366382998934
Zn_6,0.05110454114550103
Cu_1,0.0034669025274948837
Cu_2,0.007165967804931109
Cu_3,0.014082057803103587
Cu_4,0.015944755526084837
Cu_5,0.02046961342533084
Cu_6,0.02522933974281242
Pb_1,0.0018504884729661265
Pb_2,0.003897328707940908
Pb_3,0.006226582802497662
Pb_4,0.002805256317035566
Pb_5,0.00591643104736372
Pb_6,0.01022478726496278
