,yfcE
Cr_1,-0.0008644213265532702
Cr_2,-0.0019859264423055193
Cr_3,-0.0023946112979651123
Cr_4,-0.00488752613558857
Cr_5,-0.009246213064938226
Cr_6,-0.012882751821979658
Fe_1,-0.00654910179031191
Fe_2,-0.005968935724387124
Fe_3,0.009284571348880263
Fe_4,0.0293941757945416
Fe_5,0.05261430528935815
Fe_6,0.07416231821893574
Cd_1,-0.0007981288538160264
Cd_2,0.00112723687049263
Cd_3,0.00235552601840192
Cd_4,0.0032397283441381822
Cd_5,0.0010613333172276333
Cd_6,0.003672859448362697
Zn_1,-0.0014006315875921046
Zn_2,0.0011334293666077026
Zn_3,0.014181913540044354
Zn_4,0.029228075303242663
Zn_5,0.045626411285365084
Zn_6,0.057688726845826786
Cu_1,0.003835153570983535
Cu_2,0.0010730682939019548
Cu_3,0.0032780022789477337
Cu_4,0.004702492025393648
Cu_5,0.012278044327262412
Cu_6,0.00933912920590982
Pb_1,0.001813545645149596
Pb_2,0.004329058412786428
Pb_3,0.0049588684676337294
Pb_4,0.007867776881675916
Pb_5,0.0069034279734102215
Pb_6,0.012123170092484007
