,bax
Cr_1,-0.0012522594518327068
Cr_2,-0.0008683987182251997
Cr_3,0.006550149808361767
Cr_4,0.02358773054139115
Cr_5,0.04175649438303306
Cr_6,0.05898893400233395
Fe_1,-0.014372356024153385
Fe_2,-0.03561182917191659
Fe_3,-0.05413649120324576
Fe_4,-0.07390533994916812
Fe_5,-0.08304160814733325
Fe_6,-0.10085805207886896
Cd_1,-0.0021285676974789067
Cd_2,-0.00040387541918048
Cd_3,0.003131333589292513
Cd_4,0.01066078795439313
Cd_5,0.01987303071384356
Cd_6,0.03674412668748121
Zn_1,-0.024764822980369226
Zn_2,-0.051846266625744
Zn_3,-0.05040780177620485
Zn_4,-0.04143689070149383
Zn_5,-0.02651366854796072
Zn_6,-0.02156086660946749
Cu_1,0.001942963228626957
Cu_2,0.00964764014790748
Cu_3,0.023991291392577257
Cu_4,0.02865702327965057
Cu_5,0.0334687434603727
Cu_6,0.0406704204177242
Pb_1,0.006956128095504971
Pb_2,0.019246479409825733
Pb_3,0.024727049894818817
Pb_4,0.032099038218093075
Pb_5,0.04388117775740012
Pb_6,0.05894149629293765
