,Value,list
TF,fliA,
reg_genes,65,"['yjcS' 'fliJ' 'fliQ' 'fliG' 'fliO' 'ykfB' 'fliK' 'ppdB' 'ygbK' 'fliY'
 'fliH' 'fliI' 'lolB' 'fliE' 'modC' 'hemL' 'oppF' 'ppdA' 'ppdC' 'crfC'
 'yecF' 'recC' 'fliN' 'oppD' 'prs' 'oppC' 'fliM' 'oppB' 'fliP' 'fliA'
 'ispE' 'oppA' 'fliR' 'fliL' 'fliF' 'fliZ']"
comp_genes,30,['uhpT']
both_genes,29,"['tar' 'ves' 'tsr' 'fliT' 'motB' 'flxA' 'fliS' 'modB' 'cheR' 'motA' 'flgN'
 'trg' 'flgK' 'aer' 'yhjH' 'cheZ' 'modA' 'flgM' 'ynjH' 'flgL' 'cheB'
 'yjcZ' 'fliD' 'ycgR' 'cheY' 'cheW' 'cheA' 'tap' 'fliC']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,28,
comp_ops,17,
both_ops,16,
