,USA300HOU_RS03630
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,6.6062026422999995
USA300_LAC_U01-Set001_CAMHB_Control_1,7.6690568092
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,7.7438213365
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,7.6959720316
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,7.8506311357000005
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,6.7468202242
USA300_LAC_U01-Set001_CAMHB_Control_2,7.9137724187
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,7.7599852532
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,7.5528645745
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,7.9673135603
USA300_TCH1516_U01-Set000_CAMHB_Control_1,8.5263267744
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,8.0639039488
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,8.3299074095
USA300_LAC_U01-Set001_R10LB_PreCulture_1,7.7249467247
USA300_LAC_U01-Set001_R10LB_PreCulture_2,7.5792293999
USA300_LAC_U01-Set001_R10LB_Control_1,8.5339375386
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,8.4395293314
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,8.4637842041
USA300_LAC_U01-Set001_R10LB_Control_2,8.3631458329
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,8.4055691172
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,8.3897202737
USA300_TCH1516_U01-Set000_R10LB_Control_1,8.2314246191
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,8.5422843629
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,8.3165568118
USA300_TCH1516_U01-Set000_R10LB_Control_2,8.0650273321
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,8.2769109057
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,8.4118385739
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,7.3024485303
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,7.0008345868
USA300_TCH1516_U01-Set000_CAMHB_Control_2,8.3293163403
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,8.1368087903
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,7.9930525359
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,8.1774853713
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,8.1299655693
USA300_LAC_U01-Set004_CAMHB_Control_1,8.0000895841
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,8.1679258046
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,7.7914542395
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,8.5404000826
USA300_LAC_U01-Set004_CAMHB_Control_2,8.0374651841
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,7.9149624033
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,7.7192600105
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,8.4482239539
USA300_LAC_U01-Set004_R10LB_Control_1,8.3700442529
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,8.4000385688
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,8.2951548832
USA300_LAC_U01-Set004_R10LB_Control_2,8.2737057408
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,8.5904447676
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,8.3720455376
USA300_TCH1516_U01-Set003_CAMHB_Control_2,7.1471185204
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,7.0348790109
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,7.4017759018
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,7.7324167242
USA300_TCH1516_U01-Set003_CAMHB_Control_3,7.1801949413
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,6.9645883235
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,7.3439458705
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,7.4978580612
USA300_LAC_ICA-Set001_R10LB_Control_1,8.538850267699999
USA300_LAC_ICA-Set001_R10LB_Control_2,8.560998164
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,8.566541481
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,8.6485310231
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,8.5882526742
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,8.5648785742
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,8.6171515247
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,8.3632676625
USA300_TCH1516_BK-Set001_THB_Control_1,6.3515966661
USA300_TCH1516_BK-Set001_THB_Control_2,6.5292443679000005
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,6.8301803245
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,6.5710110682
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,7.5234588835
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,6.758465947
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,6.7285847662
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,6.3001505299
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,7.810882737
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,7.7747368879
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,7.9092548613
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,7.9155465233
USA300_LAC_ICA-Set002_CAMHB_Control_1,7.6575983433
USA300_LAC_ICA-Set002_CAMHB_Control_2,7.0594715927
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,8.3053677744
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,8.1380575242
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,7.7027835877
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,7.664802567
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,7.654268181
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,7.2584981655
USA300_SNFM1_ICA-Set002_R10LB_Control_1,7.8100965455
USA300_SNFM1_ICA-Set002_R10LB_Control_2,8.0319416107
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,7.7438297247
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,7.7452599457
USA300_SNFR19_ICA-Set002_R10LB_Control_1,8.1995816637
USA300_SNFR19_ICA-Set002_R10LB_Control_2,8.1895535676
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,7.5349940151
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,7.6727721385
USA300_TCH1516_ICA-Set002_R10LB_Control_1,7.0895537181
USA300_TCH1516_ICA-Set002_R10LB_Control_2,7.4746460036
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,7.3783642131
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,7.1657791552
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,7.3067876491
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,7.0903448313
USA300_TCH1516_ICA-Set003_250nMParaquat_1,7.2869081603
USA300_TCH1516_ICA-Set003_250nMParaquat_2,7.4320709402
USA300_TCH1516_ICA-Set003_2gLGalactose_1,7.7488893085
USA300_TCH1516_ICA-Set003_2gLGalactose_2,7.6680581974
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,7.3224424243
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,7.1400264893
USA300_TCH1516_ICA-Set003_Control_1,8.0967736564
USA300_TCH1516_ICA-Set003_Control_2,7.8273206833
USA300_TCH1516_ICA-Set003_StationaryPhase_1,7.6065892788
USA300_TCH1516_ICA-Set003_StationaryPhase_2,7.49739099
