,fepA
Cr_1,0.009138319138813245
Cr_2,0.02258057040445513
Cr_3,0.037095632925458866
Cr_4,0.04662046704619482
Cr_5,0.054931558989003884
Cr_6,0.0647943195273198
Fe_1,-0.008082194044305172
Fe_2,-0.02797281535689107
Fe_3,-0.06977544370021246
Fe_4,-0.1340948998321919
Fe_5,-0.2040344170751204
Fe_6,-0.27153372590825764
Cd_1,0.00276760080533903
Cd_2,0.010083574666780951
Cd_3,0.026031902140902983
Cd_4,0.04567396852131875
Cd_5,0.06007084596529413
Cd_6,0.07695617629769191
Zn_1,0.002204064455121361
Zn_2,0.01217852767513648
Zn_3,0.029911796405835783
Zn_4,0.04598372984521648
Zn_5,0.057924985252138586
Zn_6,0.06894333390882466
Cu_1,0.008453818973131879
Cu_2,0.02112308324773737
Cu_3,0.03578712009001708
Cu_4,0.050654576664224515
Cu_5,0.06798018387243439
Cu_6,0.0875985484069685
Pb_1,0.008400106918723196
Pb_2,0.019275882932412596
Pb_3,0.03071150760729605
Pb_4,0.04421656093819898
Pb_5,0.058535652416313685
Pb_6,0.07582181462976811
