,yliI
Cr_1,0.0016704356102456256
Cr_2,0.010494697542481042
Cr_3,0.024750217727713283
Cr_4,0.04373824378475594
Cr_5,0.06672258265971949
Cr_6,0.09095568130964472
Fe_1,-0.006296630607624107
Fe_2,-0.02679177800758781
Fe_3,-0.0507953667518605
Fe_4,-0.08116775548682321
Fe_5,-0.11130243325575304
Fe_6,-0.13598471258456
Cd_1,0.02329150178135723
Cd_2,0.052109615573267966
Cd_3,0.08601587869224965
Cd_4,0.11543810264712315
Cd_5,0.1363064523938084
Cd_6,0.15309701993165967
Zn_1,-0.00829094445718526
Zn_2,-0.008780754759574006
Zn_3,-0.004499350756699441
Zn_4,-0.001999601912788645
Zn_5,-0.002446898733372574
Zn_6,-0.015612757721431612
Cu_1,0.0025759679268768675
Cu_2,0.007188800138337987
Cu_3,0.009010168499211893
Cu_4,0.011891012277646816
Cu_5,0.01708099746608958
Cu_6,0.025485405693332103
Pb_1,-0.002236295231511867
Pb_2,0.00033568898374797674
Pb_3,0.0019952986780464163
Pb_4,0.00547850296400824
Pb_5,0.01381208991018886
Pb_6,0.019259030901898542
