,A,MarR,ComR
R2,,0.4994377247614433,0.20220094925691046
xmin,,-3.0036732,-2.594539486
xmid,,-0.16373066427657895,1.8311218191819465
xmax,,5.737971181,2.498367557
ystart,,0.08129118917995215,0.6495504343524772
yend,,24.91890034250965,18.81433880268534
control__wt_glc__1,-0.2182901011,-0.20118623,0.022732821
control__wt_glc__2,0.2182901011,0.20118623,-0.022732821
fur__wt_dpd__1,0.3029823408,-0.28374061100000003,0.9834269350000001
fur__wt_dpd__2,0.5804947306,-0.29135941200000004,1.198461491
fur__wt_fe__1,0.1737992399,-0.272060246,-0.18710014100000003
fur__wt_fe__2,-0.11580561730000001,-0.32081066,-0.186445395
fur__delfur_dpd__1,-0.5554940524,-0.786346902,0.870972547
fur__delfur_dpd__2,-0.582607184,-0.555997142,0.9346743970000001
fur__delfur_fe2__1,1.3505066784,0.84770335,0.386974578
fur__delfur_fe2__2,1.2838014766999999,0.7304914690000001,0.20217404600000002
acid__wt_ph5__1,-0.35115816580000003,-0.035542334,0.272922735
acid__wt_ph5__2,-0.1378121146,-0.118510162,0.251974678
acid__delgadx_ph5__2,1.0123762415,-0.033213652,0.420986128
acid__delgadw_ph5__1,-0.12029332720000001,0.054685319,0.32477292100000005
acid__delgadw_ph5__2,0.4051221195,0.25473827200000004,0.200272359
acid__delgade_ph5__1,0.0490661365,0.26429194100000003,0.32357351900000003
acid__delgade_ph5__2,0.3345533567,0.15673371700000002,0.33294475700000004
oxidative__wt_pq__1,1.2202685439,-0.820306439,0.36824360500000003
oxidative__wt_pq__2,1.4649594306,-0.510333567,0.39516165600000003
oxidative__deloxyr_pq__1,1.8497271305,-0.498893764,0.6152942840000001
oxidative__deloxyr_pq__2,2.1766325718,-0.544551184,0.623960936
oxidative__delsoxr_pq__1,-0.5281982321,-1.708547989,0.460551356
oxidative__delsoxr_pq__2,-0.9248221407,-1.251906135,0.54847281
oxidative__delsoxs_pq__1,-1.1983949292,-1.897528699,0.757467973
oxidative__delsoxs_pq__2,-0.6253400026,-1.696773008,0.713466932
nac_ntrc__wt_csn__1,-1.8481495526,-0.502770467,1.335917747
nac_ntrc__wt_csn__2,-1.3897875148,-0.18586170200000002,1.420316619
nac_ntrc__wt_cytd__1,-1.3865412663,-0.47470755600000003,0.484786331
nac_ntrc__wt_cytd__2,-1.5683308308,-0.346639005,0.541376198
nac_ntrc__wt_gln__1,-1.8543072123000002,-0.565987169,0.8058148900000001
nac_ntrc__wt_gln__2,-1.6608478411,-0.7101064420000001,0.860661874
nac_ntrc__bw_delnac_csn__1,-0.8305869107,0.299684328,1.417583051
nac_ntrc__bw_delnac_csn__2,-0.8020289086,0.08835807600000001,1.391589129
nac_ntrc__bw_delnac_cytd__1,-1.0555798441,-0.073094425,0.12207369900000001
nac_ntrc__bw_delnac_cytd__2,-1.1026097837,-0.192112412,0.190055887
nac_ntrc__bw_delnac_gln__1,-1.3053666372000001,-0.057436189000000006,0.23354165000000002
nac_ntrc__bw_delnac_gln__2,-1.1523680913,-0.558757399,0.5326235180000001
nac_ntrc__bw_delnac_nh4__1,-0.6741785982,-0.325046922,-0.21125375700000001
nac_ntrc__bw_delnac_nh4__2,-1.1471189395999999,-0.05633119,-0.350483831
misc__wt_no_te__1,0.051721082,-0.724013495,0.025233858
misc__wt_no_te__2,0.7094199889,-0.439734608,0.15060804600000002
misc__bw_delcbl__1,1.4526591007,0.033963696,-0.023483783
misc__bw_delcbl__2,1.0493907215,0.017233604,0.20271570800000002
misc__bw_delfabr__1,0.672719166,0.129092493,0.5789115890000001
misc__bw_delfabr__2,1.0021943982,-0.014070341,0.590823557
