,A,TdcA,Crp,Fnr,ihfB
R2,,0.6476838478143321,0.11185570244485576,0.11136813013982538,0.002042037878636327
xmin,,-9.286368697,-9.852476477,-7.8525940196,-3.9178110457
xmid,,,-1.364748041362318,-0.7116005204524254,0.6321530425950559
xmax,,11.093441281,2.5388323397,4.4171410107,3.3245249795
ystart,,-17.062395297250582,-3.9576485108855484,1.4940551537234823,-0.23840969747760188
yend,,20.19842356218475,6.455813994020574,-14.331824508217217,-3.405082544094326
aat__00m_00s__1,0.8562428014000001,0.5988026284,0.0344951212,-0.0825740115,-0.1131958483
aat__00m_30s__1,-0.7107319109,0.1286886,0.1435731223,0.16485310350000001,0.0772468121
aat__01m_00s__1,-0.8439868592,-0.5581336209000001,0.2534372822,0.7752711503,0.0671979825
aat__02m_00s__1,-0.5307181994,-0.2465022402,0.283920339,0.9066270852,-0.031233225400000002
aat__05m_00s__1,-0.5104451976000001,-1.0819742577,0.3175329239,0.95171602,0.0201842575
aat__10m_00s__1,-0.46869799630000003,-0.8407687665,0.17602055360000002,1.0192587317,-0.1696861744
aat__00m_00s__2,-0.3269777621,-0.0447603512,0.005256366,0.1234264677,0.030994294500000002
aat__00m_30s__2,-1.3742478014000001,0.0940802493,0.2819816342,0.4334180231,0.0539088152
aat__01m_00s__2,-0.5378071274,-0.3772036663,0.2801678667,0.7979562918,0.1097352022
aat__02m_00s__2,-0.6693752379,-1.5003590398000002,0.4762089513,0.8964971719,0.2340397233
aat__05m_00s__2,-0.6091285024,-0.9056576843,0.5370175003000001,0.9047534472000001,0.2579735379
aat__10m_00s__2,1.0105086565,0.41585496780000003,0.5086233319,0.9185125141,0.5504911606
aat__00m_00s__3,-0.5292650393,-0.5540422772,-0.039751487200000005,-0.040852456200000005,0.0822015539
aat__00m_30s__3,-0.5991247024,-0.14980243540000002,0.2905320638,0.2208704434,0.4189166854
aat__01m_00s__3,-0.565432131,-0.3330960253,0.1859933018,0.7920547098,0.2529822276
aat__02m_00s__3,-0.4433107604,-0.6223199345,0.3699621097,0.8818752216,0.39341672120000004
aat__05m_00s__3,-0.0081195609,-0.3551776928,0.5483756585,0.9825066807,0.2673414086
aat__10m_00s__3,0.4142028269,0.4445613007,0.50143841,0.9444446514,0.42329341260000003
abx_mega__dmso-2__1,3.6903310035,-2.8953864125,-0.4516798918,0.0403637158,2.297485246
abx_mega__ery_dmso__1,-12.1083108146,-6.293738001,-1.8893970692000002,0.5459244040000001,-1.5657193052
abx_mega__nal_naoh__1,2.634350281,-2.5963106412,-0.1701238306,-0.6791990309,1.171465281
abx_mega__dmso-5__1,2.0027081144,0.1025764951,0.1340371706,0.0078028844000000005,0.294111116
abx_mega__rif_dmso__1,-0.3956025151,-0.0704031781,-0.8477189713000001,-1.3129271236,0.9331627303000001
abx_mega__novo_h2o__1,-5.2994477525,-3.3453028203,0.1307715067,0.20689053170000002,-1.5948301920999999
abx_mega__rach_dmso__1,-3.7137498889,-0.9123851053,-0.2340068764,-0.045048951000000004,-0.6969566792
abx_mega__metro_dmso__1,-5.8658941202,-2.590092631,-0.33700626310000004,0.4656249649,-0.24371025970000001
abx_mega__dmso-6__1,1.5394073568,0.5308174987000001,-0.2857852433,-0.3784852643,0.3294536628
abx_mega__chl_h2o__1,-10.7354130697,-4.6175461634,-2.9247054987,0.3019332691,-1.0253066066
abx_mega__cst_h2o__1,-0.2349523688,-0.8219480821,0.0899715865,0.0320312785,-1.1929652783
abx_mega__tec_h2o__1,-14.6051117666,-6.5713221847,-1.6070723407,-2.6112045671,0.8805616572
abx_mega__str_h2o__1,-6.4780553994,-6.0439938411,-0.5390842036,0.2482154852,1.9132335694
abx_mega__ctx_h2o__1,-3.535911271,-0.5899418066000001,-0.0980165268,0.0230880885,-1.1279696429000001
abx_mega__nal_naoh__2,0.1113433667,0.0659360299,0.2016373309,0.3075812793,-0.9605612867000001
abx_mega__phos_h2o__1,7.7463911977,1.6554919984,-0.2490351859,-0.7038356709,-0.7856317823000001
abx_mega__dmso-5__2,1.5782177763,-0.1256521086,0.0411821817,-0.2244639849,0.10447339950000001
abx_mega__polmyx_h2o__1,-2.950869885,-0.7191008498,0.0231238538,0.32801548280000004,-1.1566112913
abx_mega__h2o-8b__1,0.8126660894000001,-0.0173406405,0.0476350313,-0.0363903054,-0.5151260577
abx_mega__h2o-6__1,1.4648050479,0.46970076860000004,0.24713669740000002,0.1539794799,-0.3442757495
abx_mega__thio_dmso__1,-8.7419586484,-2.4058635239,-1.5465123927,-0.315089026,-2.3813583609
abx_mega__phos_h2o__2,4.0590881329,0.6094523562,0.2066153554,-0.19593564700000002,-1.0600417401
abx_mega__ctx_h2o__2,-0.7228996977000001,-1.7623458368,-0.5157335737000001,0.1826918599,-2.7828060503
abx_mega__lzd_dmso__1,-12.9782713539,-4.8067367147999995,-1.8223907651,0.6125076868,-0.938501404
abx_mega__naoh-9__1,-1.3524069768,-2.5717184845,0.36042412560000003,0.518483773,-1.1086632386
abx_mega__dox_dmso__1,-6.1535599872,-3.2009159984,-1.3002511837,0.6077452839,-1.5186830960000002
abx_mega__phos_ethanol__1,4.3316565652,0.6842269865,0.3379205155,0.7489705412000001,-1.0835463994
abx_mega__teix_dmso__1,-8.497800506,-2.8913544959,-0.6834405493,-1.2905505804000001,-0.2108301915
abx_mega__dmso-10__1,5.4871147629,0.26665091700000004,0.1656640608,0.4743514224,-1.1932094615
abx_mega__van_dmso__1,-10.3373480368,-5.5039899283,-0.9934080376000001,0.8302627999000001,0.5828825608
