,-0.11513649010515944,-0.08635236757886958,-0.05756824505257971,-0.02878412252628984,2.7755575615628914e-17,0.028784122526289896,0.057568245052579764,0.08635236757886963,0.1151364901051595,0.14392061263144937,0.17270473515773924,0.2014888576840291,0.23027298021031897,0.25905710273660887,0.2878412252628987,0.3166253477891886,0.3454094703154784,0.37419359284176834,0.40297771536805815,0.43176183789434797
thresh,-0.12952855136830438,0.12952855136830438,9,,,,,,,,,,,,,,,,,
unreg,0,0,1,133,3119,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,0,0,7,147,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,6,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,1,20,345,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and IHF,0,0,0,3,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and Crp,0,0,0,10,52,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Crp,0,0,0,5,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, IHF, and Crp",0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TdcR, Fnr, TdcA, IHF, and Crp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
