,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,3.33333360913457e-11,3.635980358002024,3.0,0.0,-4.0337768224,2.0,3.0252715596,4.0,1.0085052629,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,2.453775193033333,2.5575607539924583,3.0,1.0,5.2059084305,3.0,2.0053070827,5.0,0.1501100659,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-0.90389691215,1.2372107243586372,4.0,6.0,-2.2645363775,20.0,0.6665040594,40.0,-1.3641452345,63.0,-0.653410096,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-1.394855252275,0.7833184654343315,4.0,7.0,-2.32091719,33.0,-0.4112120165,81.0,-1.3400967417,82.0,-1.5071950609,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-50.633137413274994,1.6838349043656378,4.0,8.0,-49.5137327816,51.0,-51.570075276,65.0,-52.5073926157,76.0,-48.9413489798,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-46.75073695433333,2.6793003144909227,3.0,9.0,-47.4993073972,22.0,-43.7767629257,49.0,-48.9761405401,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-2.4784430524500003,1.7521115619497192,2.0,10.0,-3.7173730193,26.0,-1.2395130856,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-46.29444559550001,2.724211800627887,3.0,11.0,-46.1419967148,54.0,-43.6496592974,83.0,-49.0916807743,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-52.656271259875005,1.7787001666779705,4.0,12.0,-52.8428075531,48.0,-53.516864178,64.0,-54.1535563637,78.0,-50.1118569447,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-0.7235376303250001,1.3229599209267344,4.0,13.0,-2.5636670298,38.0,-0.44834911180000003,67.0,0.5901314308,72.0,-0.4722658105,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,-0.677872304,1.147267845025289,3.0,14.0,-1.9454891689,41.0,0.2892289743,85.0,-0.37735671740000004,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,-0.17420254485,0.5422737648878169,4.0,15.0,-0.35822190460000003,52.0,0.5953679006,71.0,-0.2612529361,80.0,-0.6727032393,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,-53.49455939453333,2.8893458283584823,3.0,16.0,-54.0222869806,53.0,-56.0836672123,77.0,-50.3777239907,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,-56.86367463123333,1.6215229587131006,3.0,17.0,-55.006203322,50.0,-57.9965841264,66.0,-57.5882364453,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,-52.578881893466665,5.012215163035415,3.0,18.0,-48.8919413555,25.0,-58.285919548,62.0,-50.5587847769,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,-2.3247449985,2.2600348545813547,4.0,19.0,-4.8520862566,28.0,-0.6335138461,56.0,-0.2146474031,73.0,-3.5987324882,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,-54.6430071764,3.508563622118112,4.0,21.0,-51.9958808118,34.0,-58.7518432866,45.0,-56.3587771431,58.0,-51.4655274641,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,0.50363589605,1.5092368129905749,4.0,23.0,2.0273440236,42.0,1.0669713992,70.0,-1.5439970605000002,79.0,0.46422522190000004,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,-1.7014364075,2.780037644505968,4.0,24.0,-0.87413605,29.0,-4.8672590878,68.0,1.6751563401,74.0,-2.7395068323,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,-1.301792681625,1.5112633492527203,4.0,27.0,0.35194847970000004,31.0,-3.2580163802,69.0,-0.8010289515,75.0,-1.5000738745,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,-52.54660334085,3.7684708840577064,4.0,30.0,-48.80023898,32.0,-56.40319224,59.0,-49.8752418647,86.0,-55.1077402787,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,-51.8656464663,,1.0,35.0,-51.8656464663,,,,,,,,,,,,,,,,,,,,,,,,,,
22,co_culture__b_thai_c_viol_30,-51.608840670875004,3.2588635720993957,4.0,36.0,-54.8303420527,44.0,-53.9801972458,60.0,-49.1434268915,61.0,-48.4813964935,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,0.0,0.7399608941424106,4.0,37.0,-0.3296077009,46.0,-0.16547452140000002,57.0,-0.5843393242,84.0,1.0794215465,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,-1.1333465330999999,1.5528886475355586,2.0,39.0,-2.2314046262,43.0,-0.03528844,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,-30.377640848800002,3.9166007102247957,2.0,47.0,-27.6081859274,55.0,-33.1470957702,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,-3.33333360913457e-11,0.886674568822699,3.0,87.0,0.3144975708,90.0,0.6865582123,93.0,-1.0010557832,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,-0.7092587334333333,1.1567374464012643,3.0,88.0,-1.3137671702,91.0,-1.438493091,94.0,0.6244840609,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,-1.0623633254666667,0.32969845737171777,3.0,89.0,-1.4386035266000001,92.0,-0.8239087826,95.0,-0.9245776672,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,-2.500002982408489e-11,1.220381106432961,4.0,96.0,-0.6108268262000001,97.0,-0.3122534537,98.0,1.7978297609,99.0,-0.8747494811000001,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,-2.2391787906,0.5927127092413371,2.0,100.0,-1.8200676146,104.0,-2.6582899666,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,-1.7385738822499999,2.1040233614412185,2.0,101.0,-0.2508046956,105.0,-3.2263430689,,,,,,,,,,,,,,,,,,,,,,,,
32,immunity_isolated__WT_WT,-8.333352526553503e-12,1.0520712872874425,12.0,102.0,-0.6913247177,110.0,0.40193609750000003,117.0,0.4960049112,125.0,0.5300665475,131.0,-0.0866074409,134.0,0.2418224029,138.0,1.0788584848,159.0,0.7176706583,162.0,1.1246949256,164.0,0.0015731096,170.0,-2.5086229054,174.0,-1.3060720735,,,,
33,immunity_isolated__WT_npr1,-0.56433505015,0.07116370566487981,2.0,103.0,-0.614655389,126.0,-0.5140147113,,,,,,,,,,,,,,,,,,,,,,,,
34,immunity_isolated__AvrRpt2_WT,-3.502401812492857,1.5507795072853847,14.0,106.0,-2.7405955351999998,113.0,-1.5039779688000001,121.0,-3.3776746818,127.0,-1.7584437466,136.0,-1.2894031401000001,142.0,-3.7248480378,145.0,-2.6800872072,150.0,-5.0419580755,160.0,-3.2885436564,161.0,-3.9815982863,163.0,-3.7119033769,167.0,-3.479824345,172.0,-6.7115485066,176.0,-5.7432188107
35,immunity_isolated__AvrRpt2_npr1,-2.6510694927,0.6509789595054082,3.0,107.0,-1.9050693626,128.0,-3.1039848888,146.0,-2.9441542267000003,,,,,,,,,,,,,,,,,,,,,,
36,immunity_isolated__AvrRpt2_DE,-2.3530650915666667,1.0318610397799628,3.0,108.0,-1.3190744633,129.0,-2.3573375362,147.0,-3.3827832752,,,,,,,,,,,,,,,,,,,,,,
37,immunity_isolated__AvrRpt2_DEPS,-2.2231327939,2.012669397840977,2.0,109.0,-3.6463049734,148.0,-0.7999606144,,,,,,,,,,,,,,,,,,,,,,,,
38,immunity_isolated__WT_pad4,0.425005016725,0.9726695282670722,4.0,111.0,1.6536173146,119.0,0.7533327806,140.0,-0.28660861320000003,165.0,-0.42032141510000004,,,,,,,,,,,,,,,,,,,,
39,immunity_isolated__WT_PS,-0.048473087800000064,1.6851821949722467,4.0,112.0,1.97020865,120.0,-0.6333153493,141.0,-2.0052421796,166.0,0.4744565277,,,,,,,,,,,,,,,,,,,,
40,immunity_isolated__AvrRpt2_sid2,-1.9656476124999998,0.38841559160262834,3.0,114.0,-1.5288638588999999,122.0,-2.2722530724,143.0,-2.0958259062,,,,,,,,,,,,,,,,,,,,,,
41,immunity_isolated__AvrRpt2_pad4,-2.47846942765,1.1156199845187,4.0,115.0,-0.8216873509,123.0,-3.179171776,144.0,-2.8135600085,168.0,-3.0994585752,,,,,,,,,,,,,,,,,,,,
42,immunity_isolated__AvrRpt2_PS,-0.874928734,1.6973490309129924,3.0,116.0,0.059931663,124.0,0.1494590059,169.0,-2.8341768709,,,,,,,,,,,,,,,,,,,,,,
43,immunity_isolated__WT_sid2,0.6337924876,1.4761398891529365,2.0,118.0,1.6775810132,139.0,-0.409996038,,,,,,,,,,,,,,,,,,,,,,,,
44,immunity_isolated__WT_WT_mock,1.6342713364333334,0.8136498301999782,3.0,130.0,1.7586174664,152.0,2.3785904141,156.0,0.7656061288,,,,,,,,,,,,,,,,,,,,,,
45,immunity_isolated__WT_SP,-0.5989447098,0.024736019177541375,2.0,132.0,-0.6164357167,135.0,-0.5814537029,,,,,,,,,,,,,,,,,,,,,,,,
46,immunity_isolated__AvrRpt2_b2b3,-4.05863971335,0.9008309294971281,2.0,133.0,-4.6956233723,137.0,-3.4216560544,,,,,,,,,,,,,,,,,,,,,,,,
47,immunity_isolated__AvrRpt2_RR,-1.6410081758000001,1.2665343420935617,2.0,149.0,-0.7454331539,151.0,-2.5365831977,,,,,,,,,,,,,,,,,,,,,,,,
48,immunity_isolated__WT_WT_SA,-1.2913327352666666,0.744331037063828,3.0,153.0,-2.1484750201,155.0,-0.9176161314,158.0,-0.8079070543,,,,,,,,,,,,,,,,,,,,,,
49,immunity_isolated__WT_WT_chitin,-2.6517977386,1.392818446101386,2.0,154.0,-3.6366691068,157.0,-1.6669263704000001,,,,,,,,,,,,,,,,,,,,,,,,
50,immunity_isolated__WT_stp,-2.7440273655,0.8353707660797608,2.0,171.0,-2.153331032,175.0,-3.334723699,,,,,,,,,,,,,,,,,,,,,,,,
51,immunity_isolated__AvrRpt2_stp,-6.4598037195,0.5134438017844697,2.0,173.0,-6.8228633135,177.0,-6.0967441255,,,,,,,,,,,,,,,,,,,,,,,,
52,immunity_no_isolation__WT_WT_mock,3.33333360913457e-11,3.40255172822821,3.0,178.0,-3.8275985466,182.0,1.1460263332,183.0,2.6815722135,,,,,,,,,,,,,,,,,,,,,,
53,immunity_no_isolation__WT_WT_flg22,-7.0786885608666665,1.2319029141317321,3.0,179.0,-6.7258798567,180.0,-8.4485036987,181.0,-6.0616821272,,,,,,,,,,,,,,,,,,,,,,
54,immunity_time__mock_1hpi,3.700743415417188e-17,1.708543143817599,3.0,184.0,1.9692400962,185.0,-1.0880113288,186.0,-0.8812287674,,,,,,,,,,,,,,,,,,,,,,
55,immunity_time__flg22_1hpi,0.3406508396666667,1.8710292957407635,3.0,187.0,2.4618329114,188.0,-1.0751733442,189.0,-0.3647070482,,,,,,,,,,,,,,,,,,,,,,
56,immunity_time__mock_3hpi,0.4707575747666666,2.330707312031103,3.0,190.0,2.1718488184,191.0,1.4262886429,192.0,-2.185864737,,,,,,,,,,,,,,,,,,,,,,
57,immunity_time__flg22_3hpi,0.1417459886333333,2.19925927404802,3.0,193.0,2.622980676,194.0,-0.6305262108,195.0,-1.5672164993000002,,,,,,,,,,,,,,,,,,,,,,
58,immunity_time__mock_5hpi,3.404283774533333,1.465354124314838,3.0,196.0,2.2228603921,197.0,5.0440149142,198.0,2.9459760173,,,,,,,,,,,,,,,,,,,,,,
59,immunity_time__flg22_5hpi,1.0638287949333334,2.1391140093639445,3.0,199.0,-1.4006382578,200.0,2.1524992531000002,201.0,2.4396253895,,,,,,,,,,,,,,,,,,,,,,
