,A,NanR
R2,,0.00819816601170631
xmin,,-4.9955452427
xmid,,-0.4419076910834925
xmax,,2.6291956991000003
ystart,,-0.16813064519158277
yend,,1.886814452517801
SRX1125282,0.6798090611000001,0.0509342047
SRX1125283,-0.7415597493,-0.3145598128
SRX1125284,-1.0938132108,-0.3088407951
SRX1125285,-0.3414533634,-0.2382691659
SRX1125286,-0.549966189,-0.1984991186
SRX1125287,-1.2208666724000001,-0.686360029
SRX1125288,-0.5197383874,-0.17705924480000002
SRX1125289,-1.0440087052,-0.1176092695
SRX1125290,-0.4090767155,-0.1871312491
SRX1125291,-0.3323084369,-0.2223128777
SRX1125292,-0.0893375892,-0.239234936
SRX1125293,0.5727011145,-0.11084167410000001
SRX1125294,-0.1600706737,0.1261250401
SRX1125295,-0.5480361461000001,-0.18410920900000002
SRX1125296,-1.113216026,-0.17774040800000002
SRX1125297,-0.5509354456000001,-0.3029366906
SRX1125298,-0.074207257,-0.2129404266
SRX1125299,0.3915342812,-0.1973365984
SRX5694250,-5.763056384,0.9582607691
SRX5694251,-2.504408737,-0.9916333537
SRX5694252,-4.3683882708,0.18847077950000002
SRX5694253,-1.4027008643,0.09529264970000001
SRX5694254,2.1834541942,-0.3942697296
SRX5694255,-5.3208505378,-3.2757562492
SRX5694256,-2.6683745197,-0.6442097975000001
SRX5694257,-2.9616922977,-0.3384531344
SRX5694258,-3.8471742956,0.3159224043
SRX5694259,-4.8374173059,-1.3057259961
SRX5694260,0.0858545909,-0.1460024866
SRX5694261,-3.7421066904,-0.9956469720000001
SRX5694262,-6.2206803476,0.6510709422000001
SRX5694263,-1.0919567026,-0.6750111441000001
SRX5694264,-3.6010681787000003,-0.2185520047
SRX5694265,-1.1275872638,-0.630322939
SRX5694267,-1.2667286784,-0.145146418
SRX5694268,-2.111726284,-0.17044578600000002
SRX5694269,-0.34834279030000004,-0.3643204278
SRX5694271,-2.5944010662,0.005062253
SRX5694273,-4.7534446875,-1.4829924444
SRX5694274,-1.2518456472000001,-0.2599029517
SRX5694275,-2.7816129546,-0.4791629525
SRX5694276,-3.1512344997,-1.1658669657
SRX5694277,-1.488947697,-0.1240920752
SRX5694278,-4.9200098051,-1.3336071181
SRX5694279,-3.0729657927,0.1101998825
SRX5694280,-4.5548187823,-0.8891795221000001
SRX5694281,-2.789427416,-0.11620559200000001
SRX5694282,-4.6663584941,-1.9172353045000001
SRX5694283,-1.178630431,-0.8491898431
SRX5694284,-3.0623053595,-1.1004034861
