,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
26,abx_mega__naoh-9,0.68470637955,0.079234929349686,2.0,42.0,0.7407339354,294.0,0.6286788237000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,abx_mega__dox_dmso,-0.008327093637500005,0.8508932663336443,8.0,43.0,0.5913107061,142.0,-0.4084550105,166.0,-0.2110020212,177.0,-0.7273896487,221.0,1.8138409618,256.0,-0.1620259359,282.0,-0.1662232361,305.0,-0.7966725646,,,,,,,,,,,,,,,,,,,,
28,abx_mega__phos_ethanol,0.90649529425,0.36313141534172144,2.0,44.0,1.1632679805,154.0,0.649722608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,abx_mega__teix_dmso,-0.40491728244444447,0.585494378092294,18.0,45.0,-1.4308729303,54.0,-0.5251811284,106.0,-0.1253065747,108.0,-0.4204129753,135.0,-0.32657431470000003,143.0,0.4547523359,150.0,0.1209270405,183.0,-0.13563388510000002,204.0,0.29337858110000004,226.0,-1.0423611623,253.0,-0.2618845386,255.0,-0.0545755107,257.0,-1.1587377606,264.0,-0.45681558240000003,268.0,0.6129944877,284.0,-1.1224976585,300.0,-0.7454136586,306.0,-0.9642958490000001
30,abx_mega__dmso-10,-0.3373355847000001,0.5409983278692023,3.0,46.0,0.0685373289,57.0,-0.9515257032000001,66.0,-0.1290183798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,abx_mega__van_dmso,2.26245544474,1.2387413988657063,5.0,47.0,2.7325338487,72.0,4.2312358973,112.0,1.6458403421,156.0,1.3645718215,212.0,1.3380953141,,,,,,,,,,,,,,,,,,,,,,,,,,
32,abx_mega__ramo_h2o,-0.06418600946666668,0.2882586350680379,3.0,48.0,-0.39382895490000003,184.0,0.0607019299,266.0,0.1405689966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,abx_mega__h2o-7,-1.2041449357,0.5119860553702211,3.0,50.0,-0.8413937313000001,245.0,-1.7897956839,258.0,-0.9812453919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,abx_mega__cro_h2o,-0.154389221175,0.3362973729977959,4.0,51.0,-0.30488159600000003,119.0,0.2849726207,120.0,-0.5011580865,278.0,-0.09648982290000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,abx_mega__tric_ethanol,-0.07589524135,0.46384944802766653,2.0,52.0,0.2520958488,182.0,-0.40388633150000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,abx_mega__nor_naoh,-0.35230621122,0.664840654983483,5.0,53.0,-0.5727850613000001,90.0,-1.1916362865,100.0,-0.5691025044,216.0,0.5626779955,293.0,0.009314800600000001,,,,,,,,,,,,,,,,,,,,,,,,,,
37,abx_mega__rfp_ethanol,-0.3131813723,0.027011166641550212,2.0,60.0,-0.33228115140000003,78.0,-0.2940815932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,abx_mega__amyc-d_dmso,1.43790409575,1.5089480362250824,8.0,62.0,1.4229567713,91.0,0.9044554152000001,103.0,1.2417112589000001,105.0,-0.6779706685,117.0,2.6016719856,141.0,2.9026447501,174.0,3.5047196782,201.0,-0.39695642480000004,,,,,,,,,,,,,,,,,,,,
39,abx_mega__sxt_dmso,-1.4343638971000001,0.4787976148720542,4.0,63.0,-1.3400832462,181.0,-1.8259016908999999,207.0,-1.7763318393,239.0,-0.795138812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,abx_mega__dmso-1,-0.6791642922,0.25574347370357303,2.0,64.0,-0.4983263477,180.0,-0.8600022367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,abx_mega__pen_h2o,-0.010315710560000009,0.48638700449751526,5.0,65.0,-0.24393144060000002,69.0,-0.3706641197,211.0,-0.2381281459,233.0,0.8320265791,308.0,-0.0308814257,,,,,,,,,,,,,,,,,,,,,,,,,,
