,A,AraC,Crp
R2,,0.14827138567818277,0.021311865505205585
xmin,,-4.6668666265,-9.852476477
xmid,,-0.8281310575860457,
xmax,,4.762110206,2.5388323397
ystart,,-0.6638632839780428,3.6573528555116415
yend,,4.931217259811239,-0.5742927373773143
aat__00m_00s__1,0.5422806937,0.026998537700000002,0.0344951212
aat__00m_30s__1,-0.4580333744,-0.3411537803,0.1435731223
aat__01m_00s__1,-1.9680578319,-0.3241906275,0.2534372822
aat__02m_00s__1,-1.2980963167000001,-0.143134606,0.283920339
aat__05m_00s__1,-2.430003973,-0.4932950159,0.3175329239
aat__10m_00s__1,-2.5261397775,-0.5700525116,0.17602055360000002
aat__00m_00s__2,-0.3341214448,0.2691444469,0.005256366
aat__00m_30s__2,-2.1418979588,0.2873905357,0.2819816342
aat__01m_00s__2,-1.4563120977000001,-0.1111919338,0.2801678667
aat__02m_00s__2,-1.5979884049000002,-0.0394261691,0.4762089513
aat__05m_00s__2,-1.9574776369,-0.2046928727,0.5370175003000001
aat__10m_00s__2,-1.8004072543,-0.27444440740000003,0.5086233319
aat__00m_00s__3,-0.2081592489,-0.2961429846,-0.039751487200000005
aat__00m_30s__3,-1.1493168175,0.1887521684,0.2905320638
aat__01m_00s__3,-1.217039555,-0.2822892852,0.1859933018
aat__02m_00s__3,-2.0209111782,-0.0215160914,0.3699621097
aat__05m_00s__3,-1.0971182105,0.0531386311,0.5483756585
aat__10m_00s__3,-1.5901945603,-0.12433065680000001,0.50143841
abx_mega__dmso-2__1,1.7904125215,0.032182456400000004,-0.4516798918
abx_mega__ery_dmso__1,1.1569625274,-2.6585590459,-1.8893970692000002
abx_mega__nal_naoh__1,-1.0835138458,-0.2666061319,-0.1701238306
abx_mega__dmso-5__1,0.1204330514,-0.0882097795,0.1340371706
abx_mega__rif_dmso__1,1.664548331,-0.6917582216,-0.8477189713000001
abx_mega__novo_h2o__1,0.5460586053,-2.9216950308,0.1307715067
abx_mega__rach_dmso__1,0.0042570023,-0.3576462791,-0.2340068764
abx_mega__metro_dmso__1,2.5864767336,-0.16727251340000002,-0.33700626310000004
abx_mega__dmso-6__1,2.1410374667,0.1816250473,-0.2857852433
abx_mega__chl_h2o__1,-0.4830485557,-3.275417279,-2.9247054987
abx_mega__cst_h2o__1,0.4298909688,0.1000935409,0.0899715865
abx_mega__tec_h2o__1,1.1946796692000001,-1.3078024745,-1.6070723407
abx_mega__str_h2o__1,-0.0613171781,-0.3226737819,-0.5390842036
abx_mega__ctx_h2o__1,1.1981591771,0.18911454760000002,-0.0980165268
abx_mega__nal_naoh__2,-0.2249246751,-0.4330909706,0.2016373309
