,rpsA
Cr_1,0.003915165900196585
Cr_2,0.013775080841152344
Cr_3,0.025224325348425315
Cr_4,0.031080122965006483
Cr_5,0.0326993052491917
Cr_6,0.030630694139554774
Fe_1,-0.0039155472782904715
Fe_2,0.0054424649338445895
Fe_3,0.023855281191397654
Fe_4,0.02822192209503129
Fe_5,0.023613990129122842
Fe_6,0.02089590134097127
Cd_1,0.0009270337511512773
Cd_2,0.0036699086118380506
Cd_3,0.008680575563778423
Cd_4,0.0141284985804206
Cd_5,0.01435038460083584
Cd_6,0.01979611359987129
Zn_1,0.0052370635135953894
Zn_2,0.014130442944874791
Zn_3,0.025789255445340924
Zn_4,0.039124452234976716
Zn_5,0.05275953863218175
Zn_6,0.07340687288265244
Cu_1,0.005934088460577294
Cu_2,0.01424723345432418
Cu_3,0.032033375177029984
Cu_4,0.04430953806447426
Cu_5,0.056721665502863984
Cu_6,0.07684981957903747
Pb_1,0.007435900857038381
Pb_2,0.02138244908008859
Pb_3,0.0348853811661924
Pb_4,0.042354816102707284
Pb_5,0.05493023489010816
Pb_6,0.07087155907919683
