gene_id,USA300HOU_RS11835
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,Function unknown
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN005579000"">AureoWiki</a>"
