,yafM
Cr_1,-0.03092564549029671
Cr_2,-0.04958132233662935
Cr_3,-0.06474061164607754
Cr_4,-0.0795248295164036
Cr_5,-0.0802522258027316
Cr_6,-0.08386570408533488
Fe_1,-0.13561274343994684
Fe_2,-0.1805960633922304
Fe_3,-0.21059024081716007
Fe_4,-0.22865684238622944
Fe_5,-0.2389193080146051
Fe_6,-0.23649077115479375
Cd_1,-9.952480339405714e-05
Cd_2,-0.00022738488722355167
Cd_3,-0.0005584588296610025
Cd_4,-0.005691689685028728
Cd_5,-0.007900028513140193
Cd_6,-0.007492087687769798
Zn_1,-0.0010493808437558284
Zn_2,-0.0031063616461618924
Zn_3,-0.02195267920978289
Zn_4,-0.02148945282807597
Zn_5,-0.04247501279356993
Zn_6,-0.051197253799896016
Cu_1,0.006449330536612039
Cu_2,0.00994496726938192
Cu_3,0.007338514097465434
Cu_4,0.012466604774017072
Cu_5,0.019642166682727117
Cu_6,0.031087171015315895
Pb_1,0.00021953638077168482
Pb_2,0.009245561537084352
Pb_3,0.016054432408161342
Pb_4,0.02465347745121856
Pb_5,0.03425048609925035
Pb_6,0.03832178920558193
