,yjiM
Cr_1,0.006031319130241912
Cr_2,0.0025919464109614744
Cr_3,0.005383301786377983
Cr_4,0.008855499736828679
Cr_5,0.01149526826062226
Cr_6,0.0032225267763251733
Fe_1,-0.0216056501788374
Fe_2,-0.04273907341963429
Fe_3,-0.05716735142407715
Fe_4,-0.0692652277746968
Fe_5,-0.07375355231886169
Fe_6,-0.06033107366658753
Cd_1,0.0063082383345560225
Cd_2,0.01685995706581479
Cd_3,0.0227348979524877
Cd_4,0.023149309287468403
Cd_5,0.023033728067501397
Cd_6,0.031384527672746
Zn_1,0.005636513025470346
Zn_2,0.022725116999010798
Zn_3,0.0626995312149129
Zn_4,0.09262375477415152
Zn_5,0.12373375933837576
Zn_6,0.12181693094579553
Cu_1,-0.006587074704606089
Cu_2,-0.00031626344705756426
Cu_3,0.003583671017756723
Cu_4,0.00029186418155351584
Cu_5,0.0021233887566562545
Cu_6,-0.003437906804782077
Pb_1,-0.0027583656732186198
Pb_2,0.0049900923260627564
Pb_3,0.017495773826627748
Pb_4,0.0003541809431311955
Pb_5,0.0029607562003927048
Pb_6,0.003218241913308392
