,grpE
Cr_1,0.00022372369649219522
Cr_2,0.005021694971795804
Cr_3,0.006636996371470269
Cr_4,0.008913265582367927
Cr_5,0.011047721902599436
Cr_6,0.010766078308626149
Fe_1,-0.027597845063107054
Fe_2,-0.06325831430782973
Fe_3,-0.08601307601521993
Fe_4,-0.11652614014489422
Fe_5,-0.14620560130381974
Fe_6,-0.15510832858324558
Cd_1,0.0019627449036640028
Cd_2,0.003355095543212549
Cd_3,0.002660225974607579
Cd_4,0.00953848650231102
Cd_5,0.010413784611930384
Cd_6,0.01589317167984692
Zn_1,-0.0051423008995273725
Zn_2,-0.002646687038316927
Zn_3,-0.025733426060265283
Zn_4,-0.02360651558493081
Zn_5,-0.031751475816139164
Zn_6,-0.05325260771551367
Cu_1,0.008483862600268337
Cu_2,0.024464432364493187
Cu_3,0.04384189392175453
Cu_4,0.05505848463265705
Cu_5,0.058697581109563426
Cu_6,0.049376926279339615
Pb_1,0.003839366000332432
Pb_2,0.005186293397137767
Pb_3,0.008975275957340895
Pb_4,0.0061768446828004454
Pb_5,0.015303544501466471
Pb_6,0.025580042403087314
