,codB
Cr_1,0.0057612963965434204
Cr_2,0.009599305395273114
Cr_3,0.01103895071309835
Cr_4,0.020119624514552938
Cr_5,0.03831567679124008
Cr_6,0.05881967021788718
Fe_1,0.005879142311783161
Fe_2,0.09784005419993334
Fe_3,0.22495137619289748
Fe_4,0.3381743556143475
Fe_5,0.4432651599795085
Fe_6,0.5299343930245654
Cd_1,0.005686139178995583
Cd_2,0.01058473659781376
Cd_3,0.021248900324019226
Cd_4,0.0264952316866881
Cd_5,0.022837960606433432
Cd_6,0.026652295268451885
Zn_1,0.004672277677456765
Zn_2,0.020521080767288376
Zn_3,0.035573694182066316
Zn_4,0.04230813033274428
Zn_5,0.031990939133569006
Zn_6,0.003898669380061621
Cu_1,0.02257128633733799
Cu_2,0.03928929453380558
Cu_3,0.048570899494465414
Cu_4,0.06472737428784497
Cu_5,0.07085330041105517
Cu_6,0.0800207619966041
Pb_1,0.01144465073616063
Pb_2,0.021870051379047573
Pb_3,0.032572954142718616
Pb_4,0.04815701941359951
Pb_5,0.07084117910379015
Pb_6,0.08005142140773584
