locus,gene_weight,gene_name,gene_product,cog,regulator,Phage_2,link
SP5448_03565,0.2534584654,SP5448_03565,hypothetical protein,Function unknown,"Nra_exponetional_M49,Nra_stationary_M49,Irr_EE_M6,Phage_2",True,
SP5448_03540,0.2374798435,SP5448_03540,replication protein,Function unknown,,False,
SP5448_03530,0.2034844413,SP5448_03530,excisionase,Function unknown,Phage_2,True,
SP5448_03535,0.1825996383,SP5448_03535,hypothetical protein,Function unknown,"Mga,Nra_exponetional_M49,Phage_2",True,
SP5448_03505,0.1787735679,SP5448_03505,hypothetical protein,Function unknown,,False,
SP5448_03585,0.1693193181,SP5448_03585,hypothetical protein,Function unknown,"CovR,Phage_2",True,
SP5448_03560,0.1618494197,SP5448_03560,hypothetical protein,Function unknown,Phage_2,True,
SP5448_03545,0.16139409600000001,dnaD,DNA replication protein,Function unknown,Phage_2,True,
SP5448_03525,0.16121941380000002,SP5448_03525,DNA-binding protein,Transcription,"Mga,Phage_2",True,
SP5448_03590,0.15456775990000002,SP5448_03590,hypothetical protein,Function unknown,Phage_2,True,
SP5448_03500,0.124082487,SP5448_03500,oxidoreductase,Function unknown,"Rgg,Rgg,Nra_exponetional_M49,Phage_2",True,
SP5448_03720,0.1182225115,SP5448_03720,hypothetical protein,Function unknown,"CovR,CovR,Nra_exponetional_M49,Nra_stationary_M49,Phage_2",True,
SP5448_03570,0.1167839905,recT,recombinase RecT,"Replication, recombination and repair","CovR,Irr_LE_M6,Phage_2",True,
SP5448_03575,0.1089567541,pi112,hypothetical protein,"Replication, recombination and repair","CovR,Phage_2",True,
SP5448_03550,0.1057320161,SP5448_03550,hypothetical protein,Function unknown,Phage_2,True,
SP5448_00940,0.0918954465,araD,ribulose 5-phosphate epimerase,Carbohydrate transport and metabolism,"CcpA,SgaR,CovR,Rgg,Rgg,Nra_stationary_M49",False,
SP5448_04475,0.0917202554,SP5448_04475,hypothetical protein,Function unknown,"CovR,MalR_M1",False,
SP5448_04600,-0.09392383430000001,SP5448_04600,hypothetical protein,Function unknown,"CovR,Mga,Phage_3",False,
SP5448_01465,-0.09613403420000001,sigH,competence protein ComX,Transcription,,False,
