,flgB
Cr_1,-0.008743571432363024
Cr_2,-0.003414578455913715
Cr_3,-0.006860604320324911
Cr_4,-0.00602625908666355
Cr_5,-0.007124631820987244
Cr_6,-0.0043771818014284505
Fe_1,-0.016179177516233954
Fe_2,-0.026344708632844226
Fe_3,-0.009452051559694368
Fe_4,0.009423324511552877
Fe_5,0.02591650120241594
Fe_6,0.034132584976702886
Cd_1,-0.005651165923801966
Cd_2,-0.01074904094934575
Cd_3,-0.014969876504912981
Cd_4,-0.017584098647915526
Cd_5,-0.02549294345837773
Cd_6,-0.0265513846367313
Zn_1,-0.010515806167294391
Zn_2,-0.009635133652781805
Zn_3,0.0054165884638803655
Zn_4,0.02313217040140521
Zn_5,0.03670346855391949
Zn_6,0.05528511303642513
Cu_1,0.00024748971546054583
Cu_2,0.00420851101023506
Cu_3,0.007579615674195864
Cu_4,0.009611576239229223
Cu_5,0.013707165976160184
Cu_6,0.016253963914176175
Pb_1,-0.010250796795848376
Pb_2,-0.024278762606646718
Pb_3,-0.041517658834032585
Pb_4,-0.04896995107849193
Pb_5,-0.057615422155572124
Pb_6,-0.06571813622106958
