,mgsA
Cr_1,0.002392019378635994
Cr_2,0.0060884033482337795
Cr_3,0.014439779998330566
Cr_4,-0.0008854900052605537
Cr_5,-0.012554580149827835
Cr_6,-0.011453240721236864
Fe_1,-0.012129248307522536
Fe_2,-0.03149910051595717
Fe_3,-0.05525334335303437
Fe_4,-0.08290687443869932
Fe_5,-0.10155412928938913
Fe_6,-0.1159877652985543
Cd_1,-0.023012640602733364
Cd_2,-0.04740625938055176
Cd_3,-0.04848471821560719
Cd_4,-0.044894209774456885
Cd_5,-0.030859131500367294
Cd_6,-0.02942614000583337
Zn_1,0.0061070652859560575
Zn_2,0.01274794122177599
Zn_3,0.01950023695863413
Zn_4,0.034110090414258165
Zn_5,0.04215908141215554
Zn_6,0.05145499737362756
Cu_1,0.9540863792808792
Cu_2,1.1920432281417386
Cu_3,1.8450270686242336
Cu_4,2.5527978312465485
Cu_5,2.213927766532309
Cu_6,2.471005855319209
Pb_1,-0.00549002236764514
Pb_2,-0.008805365683159115
Pb_3,-0.013896287003162616
Pb_4,-0.015844305136047017
Pb_5,-0.014888645187918981
Pb_6,-0.015393222463621603
