,A,TurA
R2,,0.09492999539011371
xmin,,-10.27252997
xmid,,-1.335067668273896
xmax,,2.1245577375
ystart,,-12.86734289222083
yend,,5.27510168219644
ALE:GalactoseA5:1.0,-26.674037444289592,0.8455434875000005
ALE:GalactoseA5:2.0,-25.859359721340315,1.0076159775000004
ALE:GalactoseA6:1.0,-12.227385578092196,2.1245577375
ALE:GalactoseA6:2.0,-12.244614614090128,1.9539087375000008
ALE:GalactoseA8:1.0,-26.85312200676993,0.6515113175000007
ALE:GalactoseA8:2.0,-26.797539441180625,0.9187360975
ALE:IL_Control:1.0,1.49146937960849,0.3469828674999995
ALE:IL_Control:2.0,-1.5129898432906033,0.3419278475000009
ALE:IL_Control:3.0,-0.4539996310671236,-0.4315455124999996
ALE:IL_Control:4.0,0.4755200937606616,-0.257365202499999
ALE:IL_TEOH_OAc:1.0,-4.356745620976486,-0.7921362224999999
ALE:IL_TEOH_OAc:2.0,-7.003597791194359,-1.1012599324999996
ALE:IL_TEA_HS:1.0,-2.186772904372499,-0.1102902624999995
ALE:IL_TEA_HS:2.0,-1.7184587299408798,0.201448387500001
ALE:IL_Mixed:1.0,-7.235340272938277,-1.0651372524999996
ALE:IL_Mixed:2.0,-8.141303654548107,-0.8268086324999988
ALE:IL_PP5350:1.0,1.9419665242096096,-0.3317022825000002
ALE:IL_PP5350:2.0,2.040880031857645,-0.637044702499999
ALE:IL_T8:1.0,-3.748445128102668,-0.3493532624999993
ALE:IL_T8:2.0,-5.088268776726562,-0.5860503324999993
ALE:IL_T9:1.0,-28.360934824252013,-0.7206865824999991
ALE:IL_T9:2.0,-28.04001911364313,-0.8247698324999995
ALE:IL_Control2:1.0,1.0823016327111088,0.2588504675000003
ALE:IL_Control2:2.0,1.5201611349091904,0.2621382575000002
ALE:IL_Glc+Ace:1.0,-2.3407139613514247,-0.9489836425
ALE:IL_Glc+Ace:2.0,-2.839339705571013,-0.6908619725000005
ALE:XyloseA1:1.0,-2.8024346787783445,0.8008845974999996
ALE:XyloseA1:2.0,-2.8855829101083925,0.7343675975000004
ALE:XyloseA2:1.0,-24.989668988499115,1.0103438474999995
ALE:XyloseA2:2.0,-25.126678833655,0.9352870375000002
ALE:XyloseA3:1.0,-27.24714918257764,1.2512417575000008
ALE:XyloseA3:2.0,-26.785871682929383,1.0924273275000012
ALE:XyloseA4:1.0,-5.7137875188756455,0.8542569175000008
ALE:XyloseA4:2.0,-7.380219738935138,0.799363617500001
Aromatic:Coumarate:1.0,-2.432598037914462,-0.142306640000001
Aromatic:Coumarate:2.0,-3.369758386762311,-0.2648384000000003
Aromatic:Coumarate:3.0,-7.101273649018408,-0.6033600200000002
Aromatic:Coumarate+ferulate:1.0,-12.440094222938669,-0.7595593800000007
Aromatic:Coumarate+ferulate:2.0,-13.008229438168753,-0.8288645600000013
Aromatic:Coumarate+ferulate:3.0,-16.034031638559966,-0.6067542200000009
Aromatic:Ferulate:1.0,-20.496880400330102,-1.0357191500000005
Aromatic:Ferulate:2.0,-18.99161166981358,-0.9049331600000006
Aromatic:Ferulate:3.0,-18.100808345203934,-0.4282439400000015
Aromatic:Glucose:1.0,0.0284049487604086,0.1895207799999987
Aromatic:Glucose:2.0,-1.3454502853630197,-0.3540977300000012
Aromatic:Glucose:3.0,1.3170453362795258,0.1645769499999989
Bioreactor1:24h:1.0,0.766725332245199,-0.2590549210000006
Bioreactor1:24h:2.0,-0.7667253321958316,0.2590549210000006
Bioreactor2:S_0min:1.0,0.2335255367638131,0.3852721333333324
Bioreactor2:S_15min:1.0,-1.3638465795594592,0.4753084333333319
Bioreactor2:P1_15min:1.0,-0.8183451287764012,0.455315483333333
Bioreactor2:P3_15min:1.0,-0.4979253854429901,0.6230868233333329
Bioreactor2:P5_15min:1.0,-0.5083966936812105,0.1744051533333319
Bioreactor2:S_1h:1.0,-1.130333730367589,0.6368535833333322
Bioreactor2:S_3h:1.0,-2.148744390328035,0.7571845133333337
Bioreactor2:S_9h:1.0,-2.23795593092878,-0.1232889566666664
Bioreactor2:S_25h:1.0,-2.2651919897077444,0.3945223433333336
Bioreactor2:P1_25h:1.0,-1.5714852322986652,0.204835693333333
Bioreactor2:P3_25h:1.0,-2.281130197778562,0.8310919233333323
Bioreactor2:P5_25h:1.0,-1.7817314343597377,-1.052453166666668
Bioreactor2:S_0min:2.0,-1.2743512221554,-0.7927845466666668
Bioreactor2:S_15min:2.0,-1.0434602623662332,-1.2072848966666676
Bioreactor2:P1_15min:2.0,0.2031014703488582,-0.3234887166666667
Bioreactor2:P3_15min:2.0,-1.150393168593909,-0.4405342466666671
Bioreactor2:P5_15min:2.0,-0.1417735020129681,-0.2499039566666674
Bioreactor2:S_1h:2.0,0.4392051473446804,0.2970312733333333
Bioreactor2:S_3h:2.0,-0.657776480187999,0.007830273333333
Bioreactor2:S_9h:2.0,-2.007450739314162,-0.1342722466666668
Bioreactor2:S_25h:2.0,-2.2560112061098065,-0.513132696666668
Bioreactor2:P1_25h:2.0,-1.547408378956935,0.0915890833333321
Bioreactor2:P3_25h:2.0,-0.2457668249065811,0.4527807933333321
Bioreactor2:P5_25h:2.0,-1.0796996977007305,-0.5875837266666668
Bioreactor2:S_0min:3.0,1.0408256865778744,0.4075124133333325
Bioreactor2:S_15min:3.0,-0.708856546979547,0.2808190233333327
Bioreactor2:P1_15min:3.0,0.2893883529176101,0.1851920433333322
Bioreactor2:P3_15min:3.0,0.6706819250887215,0.1795523533333334
Bioreactor2:P5_15min:3.0,-0.2728837504939438,0.4499290433333325
Bioreactor2:S_1h:3.0,-0.5840306161913168,0.6462317033333331
Bioreactor2:S_3h:3.0,-1.780216413009457,0.5566977633333323
Bioreactor2:S_9h:3.0,-2.104838921364947,0.5967399033333329
Bioreactor2:S_25h:3.0,-0.5003805955868458,0.4290863833333329
Bioreactor2:P1_25h:3.0,-1.218003358759961,-0.3157286466666669
Bioreactor2:P3_25h:3.0,-0.1691803719878922,0.5290846233333326
Bioreactor2:P5_25h:3.0,-0.6273621014805858,-0.0907747266666678
Carbon:Citrate:1.0,-19.535167347901023,-0.283451415
Carbon:Citrate:2.0,-20.57892966724165,-0.4454039850000004
Carbon:Citrate:3.0,-18.84330430429377,0.1763247949999993
Carbon:Ferulate:1.0,-10.226120022858092,0.3571678350000002
Carbon:Ferulate:2.0,-14.405094299346866,0.770116625
Carbon:Ferulate:3.0,-13.640075152803409,0.3149911049999989
Carbon:Glucose:1.0,-0.0441639526122361,0.1640226049999995
Carbon:Glucose:2.0,0.0441639523190087,-0.1640226049999995
Carbon:Serine:1.0,-13.785872492667394,0.0357198249999992
Carbon:Serine:2.0,-12.513880395793846,0.1492572150000004
Carbon:Serine:3.0,-9.264562563126878,0.0552262349999992
Carbon2:Glucose:1.0,0.3187820266394514,0.2457032166666657
Carbon2:Glucose:2.0,0.0787484146787428,-0.2297117133333337
Carbon2:Glucose:3.0,-0.3975304364450017,-0.0159915033333337
Carbon2:Coumarate:1.0,-0.9375581903530956,1.1351136966666662
Carbon2:Coumarate:2.0,-0.2545775583051275,1.353300796666666
Carbon2:Coumarate:3.0,-1.2790043808131772,1.2308391766666666
Crc:Control:1.0,0.4004786040226875,-0.0382386085000003
Crc:Control:2.0,-0.400478604029344,0.0382386085000003
Crc:Del_crc:1.0,9.780829435314482,-0.067478359499999
Crc:Del_crc:2.0,8.365488931996602,-0.2739247794999997
Crc:Del_crcZ_crcY:1.0,21.68594074434297,-0.0409566775000005
Crc:Del_crcZ_crcY:2.0,21.355199280983232,-0.1533673904999997
FinR:Control:1.0,-0.1852470497140789,0.0416315499999999
FinR:Control:2.0,0.2468338977801486,-0.0391512800000004
FinR:Control:3.0,-0.0615868482790837,-0.0024802700000012
FinR:Del_finR:1.0,1.4671747351266982,-0.3240923200000001
FinR:Del_finR:2.0,1.2921598876487217,-0.1301665700000001
FinR:Del_finR:3.0,1.3387553397883685,-0.1618395400000007
FleQ:Del_fleQ:1.0,1.059241654064511,-0.2915436400000004
FleQ:Del_fleQ:2.0,1.1824401366488844,-0.06650855
FleQ:Del_fleQ:3.0,0.4324223140451548,-0.2146056900000008
FleQ:OE_wspR:1.0,0.0115543879079036,-0.4171226900000011
FleQ:OE_wspR:2.0,0.8635310402560978,-0.4726439000000013
FleQ:Control:1.0,-0.0570069490992808,-0.0024791400000001
FleQ:OE_wspR:3.0,0.1898809146713817,-0.3481807900000007
FleQ:Control:2.0,-0.1646228122719732,0.0416311399999997
FleQ:Control:3.0,0.2216297624118258,-0.0391520000000014
Fuel:Butanol:1.0,2.8265460348776927,0.5350375200000013
Fuel:Butanol:2.0,2.3386503831645773,0.4665814900000011
Fuel:Control:1.0,-0.1811129928502745,-0.2267753999999993
Fuel:Control:2.0,0.181112992891275,0.226775400000001
Fuel:Isopentanol:1.0,3.6298716061175806,-0.1817815939999985
Fuel:Isopentanol:2.0,3.223868071910654,-0.490114436999999
Glycolaldehyde:Glycolaldehyde:1.0,-14.325277358678688,0.6962093100000004
Glycolaldehyde:Control:1.0,-2.4513062884745622,-0.1189761699999998
Glycolaldehyde:Glycolaldehyde:2.0,-14.328063935076363,0.9901643499999988
Glycolaldehyde:Control:2.0,2.451306287876656,0.1189761699999998
HNS_protein:Control_ex:1.0,0.0239261442579195,-0.0920233400000007
HNS_protein:Del_turB_ex:1.0,7.971352636777229,0.6656284999999986
HNS_protein:Del_turB_ex:2.0,0.343741644562318,-0.4407447860000015
HNS_protein:WT_pCAR1_ex:1.0,-3.325314701483556,0.3126053099999986
HNS_protein:WT_pCAR1_Del_turA_ex:1.0,13.131504784808085,-5.898624025000001
HNS_protein:WT_pCAR1_Del_turA_st:1.0,4.69699598561465,-10.27252997
HNS_protein:WT_pCAR1_Del_turA_ex:2.0,13.75985611769899,-9.707262816
HNS_protein:WT_pCAR1_Del_turA_st:2.0,6.263664683711677,-9.708638352
HNS_protein:WT_pCAR1_ex:2.0,-2.853578346651992,0.326745429999999
HNS_protein:WT_pCAR1_Del_turB_ex:1.0,-1.0091459906106897,-0.1482778000000006
HNS_protein:WT_pCAR1_Del_turB_st:1.0,-0.7528380553368816,-0.4019084050000003
HNS_protein:WT_pCAR1_Del_turB_ex:2.0,-1.4840261752023798,-0.0332059100000012
HNS_protein:WT_pCAR1_Del_pmr_ex:1.0,-0.7073319075479564,-0.1598359400000006
HNS_protein:WT_pCAR1_Del_pmr_ex:2.0,-1.463723805694514,-0.3320127639999999
HNS_protein:WT_pCAR1_Del_turB_st:2.0,-1.2258784951713106,-0.514982968
HNS_protein:Control_ex:2.0,-0.0239261448085379,0.092023339999999
HNS_protein:WT_Del_turA_ex:1.0,20.059511849376435,-9.632150916
HNS_protein:WT_Del_turA_ex:2.0,21.095563875412008,-9.218802332
Mobile_gene:2737_exp:1.0,-0.0952271394552467,0.0517403300000012
Mobile_gene:2737_exp:2.0,-0.1751529184578099,0.0305235800000005
Mobile_gene:2737_exp:3.0,-0.0180678932333093,-0.1840572099999988
Mobile_gene:2737_exp:4.0,0.2884479508627621,0.1017933000000006
Mobile_gene:2737_reg:1.0,-2.486945355756657,-1.2353598530000005
Mobile_gene:2737_reg:2.0,-1.953994059852216,-1.3638282759999996
Mobile_gene:2737_reg:3.0,-2.571076034644672,-1.444202859999999
Mobile_gene:2737_reg:4.0,-2.4900338336302097,-1.3555342120000002
Mobile_gene:3227_exp:1.0,-0.3640795823040292,0.0222781899999997
Mobile_gene:3227_exp:2.0,-0.0686932340025088,0.0146587800000013
Mobile_gene:3227_exp:3.0,0.2413323409887442,-0.0377750999999992
Mobile_gene:3227_exp:4.0,-0.0601323641368415,0.2088694699999997
Mobile_gene:3227_reg:1.0,-1.8596144982118192,-0.8260107300000001
Mobile_gene:3227_reg:2.0,-1.7832914074736887,-1.1134769809999998
Mobile_gene:3227_reg:3.0,-1.949150358479536,-1.0096559299999992
Mobile_gene:3227_reg:4.0,-1.541737596342219,-1.0477542699999989
Mobile_gene:mfsR_exp:1.0,2.478112796365496,0.2116655100000013
Mobile_gene:mfsR_exp:2.0,3.966107245262583,-0.44171081
Mobile_gene2:Condition1:1.0,1.0436186017695417,0.2149978182499996
Mobile_gene2:Condition1:2.0,0.2164640570522633,0.0757253132500004
Mobile_gene2:Condition2:1.0,0.5340652976099672,-0.0534885327500003
Mobile_gene2:Condition2:2.0,-0.4935866198690815,0.02944300425
Mobile_gene2:Condition2:3.0,-0.1966795536372185,0.1242189512500004
Mobile_gene2:Condition2:4.0,0.1562008767428245,-0.1001734227500001
Muconate:CJ522_fructose:1.0,-23.20846843116261,-1.247465479999999
Muconate:CJ522_fructose:2.0,-23.752863549175448,-1.3601633699999989
Muconate:CJ522_fructose:3.0,-22.844992149405897,-1.5847807199999977
Muconate:CJ522_fructose_glucose:1.0,-23.192888231290745,-0.8747949999999989
Muconate:CJ522_fructose_glucose:2.0,-23.783260482074425,-1.1946866699999976
Muconate:CJ522_fructose_glucose:3.0,-23.817713205373305,-0.7359691299999973
Muconate:CJ522_fructose_glucose_gluconate:1.0,-22.397368043085475,-0.7896657399999985
Muconate:CJ522_fructose_glucose_gluconate:2.0,-22.65270481935287,-1.0485421799999983
Muconate:CJ522_fructose_glucose_gluconate:3.0,-22.60793335536498,-1.3464563399999978
Muconate:CJ522_glucose_gluconate:1.0,-16.604118957377974,-0.934089049999999
Muconate:CJ522_glucose_gluconate:2.0,-20.969783576134724,-0.8748661099999975
Muconate:CJ522_glucose_gluconate:3.0,-23.20160787611549,-1.4919909299999985
Muconate:CJ522_gluconate:1.0,-23.947097146361173,-0.8930370199999977
Muconate:CJ522_gluconate:2.0,-23.31073657938673,-0.8377249899999981
Muconate:CJ522_gluconate:3.0,-23.570037778236568,-0.5262096699999983
Muconate:CJ522_glucose:1.0,-23.042636970988628,-0.5811394799999974
Muconate:CJ522_glucose:2.0,-22.912810894436262,-0.1785132799999989
Muconate:CJ522_glucose:3.0,-23.45667125049459,-0.4756221899999975
Muconate:GB032_fructose:1.0,-23.81078927534763,-1.3560488899999985
Muconate:GB032_fructose:2.0,-23.28241104856897,-1.3707885599999976
Muconate:GB032_fructose:3.0,-24.00460179853429,-0.9791427199999988
Muconate:GB032_fructose_glucose:1.0,-21.898624612005666,-0.5741813399999973
Muconate:GB032_fructose_glucose:2.0,-22.95751286563614,-0.5378334299999974
Muconate:GB032_fructose_glucose:3.0,-22.317913246959986,-0.687212109999999
Muconate:GB032_fructose_glucose_gluconate:1.0,-22.47976561254732,-1.0274340499999983
Muconate:GB032_fructose_glucose_gluconate:2.0,-22.09022141473833,-0.8288520199999976
Muconate:GB032_fructose_glucose_gluconate:3.0,-23.603685975336884,-1.1749103099999978
Muconate:GB032_glucose_gluconate:1.0,-22.35339570454019,-0.1921541199999978
Muconate:GB032_glucose_gluconate:2.0,-23.720453671059904,-0.608328199999999
Muconate:GB032_glucose_gluconate:3.0,-22.623573199925232,-0.2424950099999989
Muconate:GB032_gluconate:1.0,-23.89172230797617,-0.4151627899999983
Muconate:GB032_gluconate:2.0,-23.53191449589797,-0.2987070999999979
Muconate:GB032_gluconate:3.0,-23.45032273333488,-0.5888453899999977
Muconate:GB032_glucose:1.0,-23.313121772388467,-0.683681619999998
Muconate:GB032_glucose:2.0,-23.513112384643087,-0.6114787599999989
Muconate:GB032_glucose:3.0,-24.74984449033947,-0.4610542099999986
Muconate:GB045_fructose:1.0,-24.33985580639612,-2.0175971899999983
Muconate:GB045_fructose:2.0,-23.645298745713266,-2.272222189999999
Muconate:GB045_fructose:3.0,-23.68733311055199,-1.921932309999999
Muconate:GB045_fructose_glucose:1.0,-24.711653321154586,-0.6305166499999988
Muconate:GB045_fructose_glucose:2.0,-24.60558115798744,-0.1665282699999988
Muconate:GB045_fructose_glucose_gluconate:1.0,-24.949643013312684,-2.5167859179999983
Muconate:GB045_fructose_glucose_gluconate:2.0,-24.34193548188763,-1.5553892399999985
Muconate:GB045_fructose_glucose_gluconate:3.0,-25.429028947926685,-1.9518464699999976
Muconate:GB045_glucose_gluconate:1.0,-26.763776215318803,-0.1764087599999975
Muconate:GB045_glucose_gluconate:2.0,-26.14631027337327,-0.2811674599999989
Muconate:GB045_glucose_gluconate:3.0,-25.924789199511224,-0.2976531199999979
Muconate:GB045_gluconate:1.0,-25.10705331649506,-2.025374789999999
Muconate:GB045_gluconate:2.0,-24.75116592100101,-2.013874859999998
Muconate:GB045_gluconate:3.0,-24.92346201511865,-2.046258299999998
Muconate:GB045_glucose:1.0,-24.36875759585641,-1.3645085499999985
