,Value,list
TF,flhD;flhC,
reg_genes,78,"['napH' 'mglB' 'ccmB' 'hypF' 'napD' 'ppdB' 'dsbE' 'gltL' 'napB' 'ygbK'
 'napC' 'fliY' 'napF' 'gltI' 'napG' 'ccmF' 'nrfA' 'mdh' 'nrfB' 'nrfC'
 'glpC' 'ppdA' 'ppdC' 'mglC' 'nrfE' 'gltK' 'recC' 'nrfG' 'napA' 'hydN'
 'ccmE' 'ccmA' 'glpA' 'ccmC' 'nrfD' 'ccmH' 'mglA' 'ycgR' 'gltJ' 'glpB']"
comp_genes,41,['flhD' 'ymdA' 'flhC']
both_genes,38,"['fliJ' 'fliQ' 'fliO' 'fliT' 'flhA' 'fliG' 'fliK' 'flgN' 'flgE' 'flgK'
 'flgG' 'yhjH' 'fliH' 'fliI' 'fliE' 'flgB' 'flgC' 'flgL' 'flgJ' 'fliN'
 'flgI' 'fliS' 'fliM' 'flgD' 'flhE' 'flgA' 'flgF' 'flhB' 'flgM' 'fliP'
 'fliD' 'fliA' 'yecR' 'flgH' 'fliR' 'fliL' 'fliF' 'fliZ']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,21,
comp_ops,13,
both_ops,11,
