,A,CcpN
R2,,0.010661657430935945
xmin,,-2.682689495944646
xmid,,
xmax,,1.6279564201293164
ystart,,2.183524245336903
yend,,-1.1006797706110771
SRX8138083,-0.6079772472064129,0.017135542273351234
SRX8138084,0.17054315310760632,-0.0617464779055954
SRX8138085,0.4374340940988009,0.04461093563224328
SRX8138086,-0.33802954325792034,0.07429913317965031
SRX8138087,-0.5006182993732474,0.23421049055461385
SRX8138088,-0.9573915250107148,0.32072259540470505
ERX4111143,0.30350457517460155,-0.0033434454754308622
ERX4111144,-0.4754699823104322,-0.032187077176351934
ERX4111145,0.14931025920642227,0.2437393074103511
ERX4111146,0.5999786474879035,0.07643160256294212
ERX4111148,0.58379160316681,-0.07735689287209269
ERX4111149,0.4719849277164642,0.1400671627177772
ERX4111150,0.5502195003856939,0.07903954416054937
ERX4111151,-0.3035045751745955,0.00334344547543175
ERX4111152,0.0010074152100185746,-0.03201772255973534
ERX4111153,-0.3836466386755151,0.15533306338302744
ERX4111154,-0.4403530745106768,0.10088916825818384
ERX4111156,0.1751901595656775,0.021647964077764925
ERX4111157,0.8750643598689262,0.15377986431659352
ERX4111158,0.8488817375847144,0.2150413788901844
SRX5577041,0.01718098526671846,-0.024721011474608368
SRX5577042,0.1276351322388247,-0.0958322443616746
SRX5577043,-0.09553308302772667,0.07683003708797642
SRX5577044,-0.04928303447782064,0.043723218748307424
SRX5577045,1.9853560660204377,-0.1359078710990751
SRX5577046,1.1814438683381605,-0.145016474048675
SRX5577047,0.2821214260640102,0.006083913241052841
SRX5577048,0.3724092120881653,-0.030699928452218476
SRX5577049,-1.9264821625896171,-0.02568500691694631
SRX5577050,-1.7056430763491668,-0.16760582609544006
SRX5577051,-2.951740744718584,0.037703662324181764
SRX5577052,-3.4155682775095566,0.11421553107924255
SRX5577053,-3.120564645174128,-0.21624906663922785
SRX5577054,-1.0983952574046538,-0.2669117874607521
SRX5577055,-3.612180020227527,-0.2344597686811349
SRX5577056,-1.22077429788528,-0.35268682219714353
SRX5577057,-3.127032076352056,-0.4640763189359189
SRX5577058,0.2625526160023627,-0.4877157426499688
SRX5577059,0.0681253124494446,-0.6464540840969724
SRX5577060,0.8980574800557589,-0.6644604175473807
SRX5577061,-4.421936799080923,-0.30913529846266563
SRX5577062,0.5846777122180605,-0.6927158608145225
SRX5577063,2.41384383445045,-0.8431832140188886
SRX5577064,-2.1995711757085665,-0.7118851743683132
SRX5577065,7.052946106106372,-0.9645279953200454
SRX5577066,1.1116336768257489,-0.6274054167488394
SRX5577067,0.6985183150109129,-0.3958115324328864
SRX5577068,2.8022997529133824,-0.7065988001131727
SRX533166,0.0493159040644645,0.0996596601804436
SRX533171,-0.04931590406444853,-0.0996596601804436
SRX533786,0.8874101112626811,0.17506559754859108
SRX533787,1.109342738066894,-0.05974215858572851
SRX533789,1.1472937763429771,0.15800794897324089
SRX533791,0.6441012017341731,-0.022141709945504573
SRX533792,0.8252523459742107,0.07868967234282476
SRX533793,1.2102312138900335,-0.0929757136304934
SRX533794,1.1565675764061638,-0.12355419124524315
SRX533795,0.5115101810018206,-0.04944857693642035
SRX4703435,-0.5813497862461693,0.012411146835846765
SRX4703436,0.11221558572990907,0.03858819202450458
SRX4703437,0.4691342005162549,-0.050999338860353134
SRX4703438,0.10508280219148956,0.9915018858765404
SRX4703439,-0.5484557199531177,1.0547839785508746
SRX4703440,-1.0829385108393048,1.045344402401974
SRX6902408,-0.21823079893531766,-0.10965340445055284
SRX6902409,-1.3304913482585865,-0.05108018731299513
SRX6902410,-0.868367739084792,-0.05080276546729934
SRX6902411,-0.1504288695286788,0.12339972478444584
SRX6902412,-0.16908987611111342,0.2178652144975297
SRX6902413,-0.21004122286919333,0.05026062005435605
SRX6902414,0.01796439835673808,0.062436310788267065
SRX6902415,-0.01796439835674031,-0.062436310788266176
SRX5278698,-0.5745750334094795,-0.16884343976460414
SRX5278699,-0.37003950908788064,-0.006822652440863664
SRX5278700,0.944614542497366,0.1756660922054678
SRX5278701,-0.6706045024452554,0.026833557985257
SRX5278702,-0.22331813960111266,0.3814686719726268
SRX5278703,0.94826921611259,0.6906440708123833
SRX5278704,-6.444999974989611,0.7396770548368048
SRX5278705,-5.2809288096951095,0.6083024430061643
SRX5278707,-2.723892512862762,0.2747450470525612
SRX5278708,-2.145486888781879,0.7207569207100786
SRX5278709,-4.1074157670609885,1.353073221711309
SRX5278710,1.3637935850716827,-0.009641647575779013
SRX5278711,0.6711388543719227,0.17497075856964184
SRX5278713,0.3490967621457192,0.8577364031147559
SRX5278714,-1.3457525715774328,1.038176912439189
SRX5278715,-1.6467587985838483,-0.20000479573528815
SRX5278716,0.33650950781503275,0.8390552572914958
SRX5278717,1.2028836155234766,-0.12144970485886565
SRX5278718,0.6023106366099583,0.6324222796482548
SRX5278719,0.5105166464258393,1.1372449261936757
SRX5278720,0.9128064721743046,-0.27165039739714203
SRX5278721,0.11681520333519045,0.4694135606461956
SRX1254783,4.546646116094925,-1.3922579734836102
SRX1254784,6.682088882006222,-1.3126374975262545
SRX1254785,4.719860514209584,-1.1474014805121575
SRX1254786,8.054322661289708,-1.4292693419429652
SRX1473807,0.1601583769337405,0.03184571347003917
SRX1473808,-0.5630994224959543,0.020030621661195624
SRX1473809,0.4029410455622087,-0.051876335131236566
SRX7520944,0.3280379802729697,-0.03957080122276935
SRX7520945,-0.2478991474630586,0.0878680975369246
SRX7520946,0.06001557494624349,-0.13822846021944454
SRX7520947,-0.14015440775614074,0.08993116390528755
SRX7520948,12.680541567582347,-2.3703453302886803
SRX7520949,12.764614124920099,-2.261742019598024
SRX7520950,17.556748352308055,-2.6097889783579964
SRX7520951,17.53979969344672,-2.443682120359518
SRX959206,-1.523580360054123,0.2628297284236085
SRX959207,-0.06926342646310349,0.1822320878012471
SRX959208,-1.7323099399693005,0.15188242181137213
SRX959209,-1.3231616096023957,0.027315526392420963
SRX959210,-1.7895439826380082,-0.18455465939168736
SRX959211,-2.6740128601208912,-0.34068691593500233
SRX959212,0.4573084887702987,0.07277469813773862
SRX959213,0.4776096953272081,-0.20979188059582565
SRX959214,-0.1817274265517621,0.024178175449005582
SRX959215,0.21448560972794567,0.1850644242800481
SRX959216,-0.655628066964255,-0.06694260477543601
SRX959217,-0.3120483003094345,-0.005282812495530642
SRX3269802,0.05743092483680912,0.026747079985764977
SRX3269803,-0.05743092483682705,-0.026747079985764977
SRX3269804,0.13623445636039244,-2.118804310572344
SRX3269805,-1.3352248653685046,-0.5635959220853
