,rluE
Cr_1,-0.0071120417543697545
Cr_2,-0.007789323258107784
Cr_3,0.0011765854031989293
Cr_4,0.01114344531326049
Cr_5,0.02351577870454644
Cr_6,0.0352474731084598
Fe_1,-0.006523212441365885
Fe_2,-0.009949175380266614
Fe_3,-0.009594497234732071
Fe_4,-0.018761280611308218
Fe_5,-0.02430882047795152
Fe_6,-0.026508393527755317
Cd_1,0.0015731262541224134
Cd_2,0.004246617601594868
Cd_3,0.009053222548711484
Cd_4,0.01591370385202472
Cd_5,0.014394206024589297
Cd_6,0.01959506908272513
Zn_1,-0.0040071917967498105
Zn_2,-0.007742860641160878
Zn_3,-0.0045142824053112825
Zn_4,-0.0005784614901991278
Zn_5,0.001454184384489746
Zn_6,0.001876538289449657
Cu_1,-0.0024199526823093483
Cu_2,-0.004462011779617867
Cu_3,-0.003113661200057584
Cu_4,0.000298794085594826
Cu_5,0.00464392023671049
Cu_6,0.008090477681644425
Pb_1,0.0020072142791304867
Pb_2,0.004518374083423871
Pb_3,0.010266792782965505
Pb_4,0.018563975769288858
Pb_5,0.02361700917941388
Pb_6,0.029277133091913963
