,A,Crp,GntR
R2,,0.040987994058793054,0.018762598706660305
xmin,,-9.852476477,-2.0141145720000004
xmid,,-0.1599537444133497,-0.6106776593075145
xmax,,1.6003325529999994,1.014186028999999
ystart,,0.5951661189009706,0.9989904624792694
yend,,2.783024667747288,2.98892632163402
control__wt_glc__1,-0.0057831269572663,0.012478645999999928,-0.030348797000000264
control__wt_glc__2,0.0057831269572583,-0.012478645999999928,0.03034879699999937
fur__wt_dpd__1,-0.0636121397570845,0.07757413100000042,-0.21351946100000066
fur__wt_dpd__2,-0.1362967535954297,-0.0906821709999992,-0.3470902960000002
fur__wt_fe__1,-0.4717003244167134,-0.030513672999999738,-0.462708623000001
fur__wt_fe__2,-0.8265384328657295,0.0581907200000007,-0.36964398900000095
fur__delfur_dpd__1,0.2917153533682018,-0.10598198399999957,-0.21473143300000075
fur__delfur_dpd__2,0.2061434456418157,-0.22346684100000047,-0.5769480530000006
fur__delfur_fe2__1,0.1717056444863451,0.4364299129999996,-0.2833596290000013
fur__delfur_fe2__2,0.1428671088800724,0.36756339300000107,-0.34711874700000056
acid__wt_ph5__1,-0.8122930622612042,0.3455225730000002,-0.5203058990000011
acid__wt_ph5__2,-1.1401909555856882,0.34313646300000045,-0.4825305170000007
acid__delgadx_ph5__2,-1.6007742444515756,0.3393877130000007,-0.592259760000001
acid__delgadw_ph5__1,-0.7698584071258086,0.3838637929999997,-0.582365610000001
acid__delgadw_ph5__2,-1.143909457795238,0.3398617829999999,-0.5084492260000006
acid__delgade_ph5__1,-1.031989388135186,0.432408723,-0.3674323850000016
acid__delgade_ph5__2,-1.1822932271636712,0.4824361929999999,-0.4067833550000009
oxidative__wt_pq__1,-0.5828930090856305,0.17662370300000066,-0.47929541400000103
oxidative__wt_pq__2,-0.0505081187818467,0.24038529300000103,-0.36485063800000095
oxidative__deloxyr_pq__1,-1.0561267067357691,0.5131550130000004,-0.2920827250000011
oxidative__deloxyr_pq__2,-0.2748141785058121,0.5363373029999998,-0.37073069900000105
oxidative__delsoxr_pq__1,-0.4246849524879147,0.3346725330000009,-0.6166390600000016
oxidative__delsoxr_pq__2,-0.3893091460109029,0.3870598730000001,-0.589248458000001
