,-0.153998768625,-0.130306650375,-0.106614532125,-0.08292241387499999,-0.059230295624999985,-0.03553817737499998,-0.011846059124999975,0.01184605912500003,0.035538177375000035,0.05923029562500004,0.08292241387500005,0.10661453212500005,0.13030665037500005,0.15399876862500006,0.17769088687500006,0.20138300512500007,0.22507512337500007,0.24876724162500008,0.2724593598750001,0.2961514781250001
thresh,-0.094768473,0.094768473,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,2,11,104,1220,1222,102,3,0,1,0,1,0,1,0,0,0,0
WalR,1,2,1,2,2,19,50,52,7,5,5,2,1,1,0,2,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['USA300HOU_RS13935'],[],['isaA'],[],['sceD'],[],[],[],[]
WalR_genes,['USA300HOU_RS03030'],['USA300HOU_RS13875' 'USA300HOU_RS00705'],['clpB'],['hrcA' 'grpE'],['mcsA' 'icaR'],"['USA300HOU_RS03260' 'USA300HOU_RS05790' 'hlgB' 'hlgB' 'dnaJ' 'splD'
 'USA300HOU_RS03375' 'prmA' 'sarA' 'hlgB' 'USA300HOU_RS10535'
 'USA300HOU_RS08780' 'USA300HOU_RS02180' 'USA300HOU_RS14145'
 'USA300HOU_RS12445' 'spA' 'USA300HOU_RS05775' 'hlgB' 'USA300HOU_RS08775']","['USA300HOU_RS01175' 'alsS' 'sarS' 'USA300HOU_RS10555' 'ldhD'
 'USA300HOU_RS09540' 'pyrF' 'USA300HOU_RS05795' 'yqxD' 'USA300HOU_RS09665'
 'ybbJ' 'USA300HOU_RS03825' 'pyrE' 'splF' 'hlgB' 'splE'
 'USA300HOU_RS03800' 'USA300HOU_RS05785' 'USA300HOU_RS02350' 'qoR' 'vicR'
 'USA300HOU_RS14120' 'USA300HOU_RS04280' 'USA300HOU_RS05800'
 'USA300HOU_RS04305' 'USA300HOU_RS10525' 'USA300HOU_RS03820' 'dinB' 'ykbA'
 'saeS' 'ybbL' 'USA300HOU_RS01640' 'USA300HOU_RS11345' 'yweA'
 'USA300HOU_RS13410' 'splA' 'ybbM' 'USA300HOU_RS09545' 'pflA' 'hlA' 'saeR'
 'ilvA' 'mepR' 'USA300HOU_RS04300' 'carB' 'prsA' 'yhbO'
 'USA300HOU_RS01170' 'USA300HOU_RS02345' 'USA300HOU_RS03690']","['yniA' 'opud2' 'spA' 'pyrC' 'USA300HOU_RS13995' 'hxlA'
 'USA300HOU_RS03920' 'USA300HOU_RS11255' 'splB' 'USA300HOU_RS10550' 'sarX'
 'USA300HOU_RS14440' 'splC' 'pbpX' 'ytkL' 'padR' 'arpJ' 'yrzL' 'dapE'
 'USA300HOU_RS00945' 'crtO' 'USA300HOU_RS06485' 'carA' 'pyrB'
 'USA300HOU_RS01975' 'USA300HOU_RS01965' 'USA300HOU_RS00570' 'lip2'
 'USA300HOU_RS11575' 'USA300HOU_RS14630' 'USA300HOU_RS02310'
 'USA300HOU_RS03270' 'potA' 'radA' 'USA300HOU_RS02190' 'USA300HOU_RS11650'
 'USA300HOU_RS14150' 'crtP' 'USA300HOU_RS05390' 'yacL' 'puuR'
 'USA300HOU_RS13065' 'USA300HOU_RS04090' 'USA300HOU_RS09535' 'proP'
 'USA300HOU_RS14000' 'secD' 'yibF' 'USA300HOU_RS01125' 'USA300HOU_RS00900'
 'clpL' 'mtlD']","['fnB' 'ohR' 'USA300HOU_RS14175' 'dprA' 'USA300HOU_RS13550' 'pfoR'
 'USA300HOU_RS05375']","['USA300HOU_RS10295' 'lytM' 'USA300HOU_RS05165' 'USA300HOU_RS10940'
 'USA300HOU_RS13740']",['gaD' 'USA300HOU_RS13925' 'yjbB' 'lyrA' 'glpQ'],['atL' 'USA300HOU_RS03760'],['sle1'],['yaaH'],[],['scaD' 'cbpD'],[],['USA300HOU_RS12465'],[],[]
