,STM3925
SRX3136375,-0.08824322030000001
SRX3136376,-0.0559862802
SRX3136377,-0.0038483017
SRX3136378,0.1480778022
SRX3136379,0.25559753020000003
SRX3136380,0.2380342483
SRX3136381,0.2241736168
SRX3136382,0.2046689365
SRX8914620,-0.0286764469
SRX8914621,0.0288894364
SRX8914622,-0.0002129895
SRX8914623,0.26068598190000003
SRX8914625,0.41658091900000005
ERX3503512,-0.17064568360000001
ERX3503513,0.0782735299
ERX3503514,0.0923721537
ERX3503515,0.9830031033000001
ERX3503516,1.2966784934
ERX3503517,1.1032256718
ERX3503518,0.8134032212000001
ERX3503519,0.8008360404
ERX3503520,0.9754198359
SRX2195704,-0.1775131037
SRX2195705,0.1775131037
SRX2195706,-0.3088588734
SRX2195707,-0.30392179680000003
SRX2195708,0.1466309033
SRX2195709,0.0701516261
SRX2195710,0.4152199943
SRX2195711,0.7041027304
ERX3467881,0.28683865880000003
ERX3467883,-0.28683865880000003
SRX3798491,0.044369504000000004
SRX3798492,0.3426070793
SRX3798499,0.0861190181
SRX3798500,-0.6072619033000001
SRX3798501,0.32526247
SRX3798502,-0.1251121819
SRX3798503,0.2895807089
SRX3798504,0.0729611711
SRX3798506,0.804464218
SRX3798507,-0.6354865195
SRX3798508,-0.504749589
SRX3798509,0.0507976408
SRX3798510,-0.0861523327
SRX3798517,0.29980782780000004
SRX3798518,0.0353546919
SRX4341761,0.0853548968
SRX4341762,0.1301363076
SRX4341763,0.1017981443
SRX4341764,-0.6771256946
SRX4341765,-0.7619607899
SRX4341766,-0.6281843616
SRX4341767,-0.1376657782
SRX4341768,0.0526209117
SRX4341769,0.0850448665
SRX1258665,0.4577374696
SRX1258666,0.30100899340000004
SRX1258667,0.0602144253
SRX1258669,0.0609911141
SRX1258670,-0.0609911141
ERX2079594,0.0012946140000000001
ERX2079595,-0.0337218616
ERX2079596,-0.0812357068
ERX2079597,-0.0671307934
ERX2079598,0.0176629082
ERX2079599,0.0494678852
SRX2804001,0.2986896096
SRX2804004,-1.0142028692
SRX2804005,-1.1219798055
SRX2804006,0.1494495979
SRX2804007,-1.3419121284
SRX2804008,-0.8465491519
SRX2804009,0.6436994275
