,A,RbsR
R2,,0.49342520822394553
xmin,,-3.0672879140000013
xmid,,
xmax,,5.793159896999999
ystart,,-6.377026493262813
yend,,10.209939241105923
ALE:GalactoseA5:1.0,1.2272345751357865,0.5889709457499999
ALE:GalactoseA5:2.0,1.525696445696092,0.6527699887500003
ALE:GalactoseA6:1.0,-1.3536502490785411,0.1416483667500001
ALE:GalactoseA6:2.0,-1.3059901484212255,0.0562876117500001
ALE:GalactoseA8:1.0,-0.3569765752539551,0.2604621627499996
ALE:GalactoseA8:2.0,-0.8177224434911976,0.0316220597500001
ALE:IL_Control:1.0,1.139698421827963,0.2334079997499998
ALE:IL_Control:2.0,-1.7083279947444363,-1.1404868392499998
ALE:IL_Control:3.0,1.423780895698506,0.8679557957500004
ALE:IL_Control:4.0,-0.8551513229679886,0.03912304375
ALE:IL_TEOH_OAc:1.0,0.5887044333843844,-0.72562587025
ALE:IL_TEOH_OAc:2.0,-1.8013384997381785,-0.77985934225
ALE:IL_TEA_HS:1.0,3.4820806204890853,0.7943587607499998
ALE:IL_TEA_HS:2.0,-2.1506007876095854,-1.09906218225
ALE:IL_Mixed:1.0,-3.0993379490188087,-0.6471116232499998
ALE:IL_Mixed:2.0,-2.894045964116082,-0.7287679112500003
ALE:IL_PP5350:1.0,-1.2246600983064064,-0.69852291725
ALE:IL_PP5350:2.0,-2.015229562624946,-0.7092303662499999
ALE:IL_T8:1.0,-0.5166464511952683,-0.92841340725
ALE:IL_T8:2.0,-0.3149741110723916,-0.5865833592499996
ALE:IL_T9:1.0,-2.432904226752807,0.1113859807499997
ALE:IL_T9:2.0,-2.8344599475447145,0.3555898027499999
ALE:IL_Control2:1.0,-0.3002624145626137,0.3012569147499997
ALE:IL_Control2:2.0,-0.0490175749280868,-0.0711994842500001
ALE:IL_Glc+Ace:1.0,-2.444066606684061,-0.8007654842500003
ALE:IL_Glc+Ace:2.0,-3.136521456913792,-0.9071495892500004
ALE:XyloseA1:1.0,1.1800691988195782,0.5189121867499997
ALE:XyloseA1:2.0,2.614200996906118,0.7601451517499997
ALE:XyloseA2:1.0,1.216245757620126,0.5707883427500002
ALE:XyloseA2:2.0,2.18508269635462,0.98315503375
ALE:XyloseA3:1.0,1.500743383243163,0.8933818807499998
ALE:XyloseA3:2.0,2.001881455472295,1.0335233437499998
ALE:XyloseA4:1.0,-1.025911534496072,0.6146337947500005
ALE:XyloseA4:2.0,-1.733968571065186,0.4101109437500003
Aromatic:Coumarate:1.0,-1.3724488792849583,0.4540704006666667
Aromatic:Coumarate:2.0,-1.0435135405252525,0.1349749746666666
Aromatic:Coumarate:3.0,-0.5909466883915037,0.9899898106666668
Aromatic:Coumarate+ferulate:1.0,-3.313876222840669,0.7316092656666671
Aromatic:Coumarate+ferulate:2.0,-3.189185553522788,0.3674135776666665
Aromatic:Coumarate+ferulate:3.0,-3.575903002883602,0.0732605666666668
Aromatic:Ferulate:1.0,0.9794357990804388,1.868916662666667
Aromatic:Ferulate:2.0,0.9347786633313938,1.5494516696666665
Aromatic:Ferulate:3.0,1.388717919665284,1.6874670146666668
Aromatic:Glucose:1.0,0.2531422871494877,-0.1444010173333332
Aromatic:Glucose:2.0,0.299514393985836,0.1328125666666668
Aromatic:Glucose:3.0,-0.5526566810127735,0.0115884506666668
Bioreactor1:24h:1.0,-0.6660766530493021,-0.4903017780000005
Bioreactor1:24h:2.0,0.6660766533153537,0.4903017780000001
