,tolC
Cr_1,-0.010673454926618626
Cr_2,-0.016745155976392367
Cr_3,-0.013062703954806769
Cr_4,-0.0008528733484228386
Cr_5,0.007183351640391095
Cr_6,0.016341830724614998
Fe_1,-0.017718310299171043
Fe_2,-0.028211424070427826
Fe_3,-0.03348859591780464
Fe_4,-0.04376116147741435
Fe_5,-0.05293243506998261
Fe_6,-0.05142751029083521
Cd_1,0.0036164784131122564
Cd_2,0.008072804020288418
Cd_3,0.01484073961098216
Cd_4,0.02428318994526547
Cd_5,0.03111522991615495
Cd_6,0.03624025477473805
Zn_1,-0.05066163562297515
Zn_2,-0.07954420692856097
Zn_3,-0.08355517637523101
Zn_4,-0.06757611509508993
Zn_5,-0.064351207897881
Zn_6,-0.05888006358428832
Cu_1,0.006119650511368802
Cu_2,0.012186242299347028
Cu_3,0.01672876264929899
Cu_4,0.01741120236572077
Cu_5,0.02300697089350036
Cu_6,0.0278715281689129
Pb_1,0.013461120538135309
Pb_2,0.016302141329042803
Pb_3,0.035653631526664835
Pb_4,0.06452874974385538
Pb_5,0.08688813774804596
Pb_6,0.10402109062744494
