,ydhO
Cr_1,0.004350324705943593
Cr_2,0.017109359645928038
Cr_3,0.022915853437124482
Cr_4,0.017796688829171417
Cr_5,0.01851423213152897
Cr_6,0.015838633578742784
Fe_1,-0.0026183451807835862
Fe_2,-0.0047286877010751715
Fe_3,-0.003598910454335092
Fe_4,-0.007910448286462311
Fe_5,-0.012911285713233365
Fe_6,-0.01641094354660269
Cd_1,-0.008345299023578641
Cd_2,-0.010126611465156731
Cd_3,-0.010003480830230959
Cd_4,-0.016088476870423068
Cd_5,-0.023912688185910837
Cd_6,-0.017797470212470443
Zn_1,0.0010069048677353927
Zn_2,0.0102148428229052
Zn_3,0.020955255387384075
Zn_4,0.032259892858122134
Zn_5,0.04877678362682275
Zn_6,0.06624421468629006
Cu_1,0.028105363175624117
Cu_2,0.03035564307777157
Cu_3,0.031788307078053614
Cu_4,0.03396263887127187
Cu_5,0.03514162075513861
Cu_6,0.037411951694557466
Pb_1,-0.010107633670456308
Pb_2,-0.01462863262712681
Pb_3,-0.018194321887428117
Pb_4,-0.026530504396275155
Pb_5,-0.036951578487899386
Pb_6,-0.05152472154962248
