,mazE
Cr_1,0.009212905489214192
Cr_2,0.02043989930992596
Cr_3,0.022298158275861315
Cr_4,0.021827890412464857
Cr_5,0.031004906682955895
Cr_6,0.029514605574104544
Fe_1,-0.014615824424194287
Fe_2,-0.023033737211264903
Fe_3,-0.028663697222984
Fe_4,-0.04250188322117225
Fe_5,-0.05977334195387244
Fe_6,-0.08532144714375281
Cd_1,-0.005767878428096032
Cd_2,-0.013880227040985998
Cd_3,-0.020309407928384048
Cd_4,-0.023449841106691214
Cd_5,-0.031239233811042544
Cd_6,-0.02670061651237001
Zn_1,0.003261244538711528
Zn_2,0.018791631318168002
Zn_3,0.0001353109825822414
Zn_4,-0.003516633698393056
Zn_5,0.00026651510273880183
Zn_6,-0.005564952831610514
Cu_1,0.0008567802979200954
Cu_2,0.0008335582160993089
Cu_3,0.019305724074921846
Cu_4,0.0368385169552038
Cu_5,0.042652975158296434
Cu_6,0.05323441427031975
Pb_1,0.008878586822614646
Pb_2,0.021972229701464955
Pb_3,0.022055200042396268
Pb_4,0.02175453801798888
Pb_5,0.03539035854025846
Pb_6,0.052760734999969416
