,gntP
Cr_1,0.0007109640162346031
Cr_2,0.025743411719014828
Cr_3,0.03508790047669368
Cr_4,0.03998613725904311
Cr_5,0.04817529192472506
Cr_6,0.04685307672394075
Fe_1,0.011435780812815977
Fe_2,0.016978991164896075
Fe_3,0.005114510654724404
Fe_4,-0.011819665122286568
Fe_5,-0.0290328498266102
Fe_6,-0.04765051019895421
Cd_1,-0.008464069162520741
Cd_2,-0.002159845448547765
Cd_3,0.011186653160394215
Cd_4,0.02125899629164284
Cd_5,0.02469458783621866
Cd_6,0.035592665325504015
Zn_1,0.03139290218221395
Zn_2,0.04803303278710912
Zn_3,0.10752758948624484
Zn_4,0.12469060975995785
Zn_5,0.15493309625077245
Zn_6,0.18280646439654613
Cu_1,0.011951132925975884
Cu_2,0.016705461428552212
Cu_3,0.03313804358035111
Cu_4,0.04311257811909503
Cu_5,0.04524759414700255
Cu_6,0.05748564761144687
Pb_1,0.002180118960249451
Pb_2,0.014862495949885037
Pb_3,0.03779163691884236
Pb_4,0.04653750933325314
Pb_5,0.05416720916745705
Pb_6,0.06672268771171072
