,A,Nac
abx_mega__thio_dmso__2,2.0661510638,-0.7981338325
abx_mega__amyc-d_dmso__3,3.4355623121,0.2203794738
abx_mega__rif_dmso__2,1.2005440401,1.2663475316000001
abx_mega__amyc-d_dmso__4,0.6686346954,-0.7832528718
abx_mega__teix_dmso__3,-0.6485160395,0.1635067698
abx_mega__valin_dmso__1,0.7801411537,0.3019074833
abx_mega__teix_dmso__4,-0.2002605489,0.1737248425
abx_mega__ethanol-10__1,-0.5493120073000001,0.29925066110000004
abx_mega__inh_h2o__1,-1.0043806393,0.2195517523
abx_mega__rif_dmso__3,1.9857557824,0.6375534961
abx_mega__van_dmso__3,-0.37430567060000003,-0.0445341756
abx_mega__doxo_dmso__1,0.0825070464,1.1441995016
abx_mega__tmp_dmso__1,1.4242134741,1.2984097291
abx_mega__ethanol-10__2,-0.9457031031,0.08480540780000001
abx_mega__tmp_dmso__2,1.0177176663,1.5399425945
abx_mega__amyc-d_dmso__5,3.1364362242,-0.8646716205
abx_mega__novo_h2o__4,1.5479201105,0.11668622070000001
abx_mega__cro_h2o__2,-1.4275608884,1.1862805591
abx_mega__cro_h2o__3,-0.3072700715,0.7897125569
abx_mega__gen_h2o__2,1.4819044543,0.2291508951
abx_mega__phos_h2o__4,-1.3349836137,0.3785502986
abx_mega__metro_dmso__2,-0.08475424570000001,0.1744039269
abx_mega__ery_h2o__2,4.3953750638,0.0675435379
abx_mega__sacet_h2o__1,1.8489394595,-0.21662235500000002
abx_mega__nal_naoh__5,0.0839150147,0.2656524802
abx_mega__bacit_h2o__4,-1.5745267211,-1.1456612943
abx_mega__cip_naoh__3,-0.9093573191000001,1.0438947443
abx_mega__ethanol-8__1,-0.5014601726,0.9596312199
abx_mega__h2o-8a__1,-0.42586080470000004,-0.0309478735
abx_mega__ery_h2o__3,3.1905041257,-0.8259991282
abx_mega__flavo_dmso__2,-0.7636060388,1.6245490787999999
abx_mega__rif_dmso__4,1.8908229895000002,0.8887881482000001
abx_mega__novo_h2o__5,2.1495242137,-1.0613605226
abx_mega__teix_dmso__5,-1.4459813711,0.5548929366
abx_mega__naoh-2__1,1.0862614071,1.1438115782
abx_mega__novo_h2o__6,0.6257623095,-1.9670270736000002
abx_mega__ctx_h2o__3,-1.0169979754,-0.0542014043
abx_mega__rach_dmso__3,-2.8457715716000003,-0.1989900668
abx_mega__valin_dmso__2,0.6388749513,0.32296212290000004
abx_mega__amyc-d_dmso__6,3.9695286524,-0.7066913786
abx_mega__dox_dmso__2,1.316735272,-0.1358729271
abx_mega__teix_dmso__6,-2.0189926639,0.5100602039000001
abx_mega__naoh-6__2,0.0435979737,-0.22567917640000001
abx_mega__inh_h2o__2,-0.4153337696,-0.9551396578
abx_mega__chl_h2o__3,1.9671815398999999,-0.5739008254
abx_mega__nal_naoh__6,-0.5590494557,0.1511828928
abx_mega__chl_dmso__2,1.8753233575000001,-1.0966497324
abx_mega__rach_dmso__4,-1.5379161346,2.0409041782
abx_mega__teix_dmso__7,-1.1334031845,1.0178561359
abx_mega__ceru_ethanol__1,-0.4304326218,0.7276275456
abx_mega__dmso-7__1,-0.6254148609,1.2851466629
abx_mega__naoh-6__3,0.4127089809,-0.3538792287
abx_mega__phos_ethanol__2,-0.6100183095,0.6736876441
abx_mega__metro_dmso__3,0.920976047,0.0540331953
abx_mega__van_dmso__4,1.0299703217,-0.10632785400000001
abx_mega__h2o-10__1,-1.1872465923,-1.018014162
abx_mega__h2o-10__2,-0.5286852354,0.2862613476
abx_mega__dmso-6__3,-0.0925837422,-0.2373925244
abx_mega__mem_dmso__1,0.0841237194,1.1395579406
abx_mega__ethanol-8__2,-0.8473907934,-0.1289235528
abx_mega__chl_h2o__4,1.8754668418,-1.317645706
abx_mega__van_h2o__1,0.2878789252,-0.544656961
abx_mega__dcs_h2o__1,-0.8172558761000001,0.9927503863
abx_mega__rif_dmso__5,0.7551399449,0.19345892250000002
abx_mega__dox_dmso__3,-0.3143392137,0.5645217246
abx_mega__mem_dmso__2,-0.7626789937,0.048526004000000005
abx_mega__lvx_dmso__2,-1.1500197543,0.8294417801
abx_mega__tet_h2o__2,2.9656185269,0.6180819312
abx_mega__phos_h2o__5,1.2274417605,1.1923505993
abx_mega__monac_dmso__1,-1.5815424152,0.9550370105
abx_mega__str_h2o__3,-1.854494199,-0.5115036049
abx_mega__zeocin_h2o__2,2.1506068172,1.9573468044000002
abx_mega__amyc-d_dmso__7,5.4417090045,0.5861244136
abx_mega__fidax_dmso__1,-0.4659572632,1.2100397691
abx_mega__h2o-1a__1,-0.2291247224,-0.2608841934
abx_mega__dox_dmso__4,0.9349536967000001,0.22369775520000001
abx_mega__lzd_dmso__2,1.4974639289,-1.3118218891
abx_mega__tet_h2o__3,2.5149346978000002,-1.1133825584
abx_mega__dmso-1__2,0.1410091105,0.5938302618
abx_mega__sxt_dmso__2,0.30434517650000004,0.4713058231
abx_mega__tric_ethanol__2,-0.4331968163,-0.1718854407
abx_mega__teix_dmso__8,0.5678660893,0.4042925868
abx_mega__ramo_h2o__2,-3.1688837877,-0.4094901696
abx_mega__inh_h2o__3,-0.9326533786000001,0.6734751615
abx_mega__cst_h2o__3,0.1356943772,0.8321887179
abx_mega__dmso-9__1,-1.0450994467,0.6142504334000001
abx_mega__ethanol-8__3,-0.8644460751,0.0342886082
abx_mega__monac_dmso__2,-0.8755632026,0.8492130701
abx_mega__dmso-9__2,-0.9519214161,1.1462558974000001
abx_mega__metro_dmso__4,0.47038378210000004,-0.13498573860000002
abx_mega__ctx_h2o__4,-0.5040460867000001,0.8347846694000001
abx_mega__zeocin_h2o__3,1.8073206666,1.5732683526
abx_mega__bacit_h2o__5,-0.29058014530000004,0.15796097280000002
abx_mega__reta_dmso__1,2.502364326,-0.1754265207
abx_mega__ery_h2o__4,2.4028460145,0.4694627959
abx_mega__ceru_ethanol__2,-0.3886205122,-0.2365843448
abx_mega__fidax_dmso__2,-0.5832022206,1.0842542795
abx_mega__novo_dmso__1,2.0557831735,-1.071233936
abx_mega__naoh-6__4,0.9054140812,0.103068081
abx_mega__amyc-d_dmso__8,1.0633797883,0.12117918230000001
abx_mega__chl_dmso__3,1.6812596188,-1.0071227255
abx_mega__nal_naoh__7,0.0001412197,1.548007996
abx_mega__teix_dmso__9,-1.952624599,0.6413980821
abx_mega__ery_dmso__3,1.9322116691,-3.7671316664
abx_mega__tmp_dmso__3,1.7270588551000001,1.16105998
abx_mega__sxt_dmso__3,-1.1372445702,0.5690059028000001
abx_mega__polmyx_h2o__4,1.2504212766,1.6295848441
abx_mega__mem_dmso__3,-1.5479218854,0.8092006588
abx_mega__nal_naoh__8,0.8380431244000001,1.5508706502
abx_mega__pen_h2o__3,-1.8794345216,0.8532396746
abx_mega__van_dmso__5,0.3048970499,0.37540806660000003
abx_mega__zeocin_h2o__4,0.0152207613,0.7633057399000001
abx_mega__h2o-6__2,0.7781726609,-0.2615254057
abx_mega__tet_h2o__4,2.4354171634,-1.6055369253
abx_mega__nor_naoh__4,-0.7567959225,0.4685763036
abx_mega__cip_naoh__4,0.1145373387,-0.5885674106000001
abx_mega__tmp_dmso__4,1.4274826461,0.8940897926
abx_mega__reta_dmso__2,2.7114865455,0.26797232
abx_mega__mem_dmso__4,-1.3921150323,1.1407464826
abx_mega__dox_dmso__5,1.7520433599,0.1017208634
abx_mega__tmp_dmso__5,-0.2340696381,2.7619330079
abx_mega__flavo_dmso__3,-0.9516572999,1.420346598
abx_mega__tmp_dmso__6,0.29642700850000003,2.3929088480000003
abx_mega__ceru_ethanol__3,-3.2843833425,-0.7246422727
abx_mega__teix_dmso__10,-0.4359000047,0.5744719764
abx_mega__novo_h2o__7,1.5446303555,-1.085685015
abx_mega__fidax_dmso__3,-0.3368033548,1.5831362403
abx_mega__h2o-1a__2,0.4848145568,-0.0710414012
abx_mega__dcs_h2o__2,-0.6174188229,0.9273458729
abx_mega__cst_h2o__4,0.9803941603,0.2744130252
abx_mega__van_h2o__2,-1.9548471775,-0.2263040957
abx_mega__pen_h2o__4,-0.0098936253,2.0746682866
abx_mega__h2o-8b__2,0.6812221326,0.6552318836000001
abx_mega__reta_dmso__3,1.7089718890999999,-0.0629230969
abx_mega__dmso-7__2,-2.1306461741,0.7829797796
abx_mega__rfp_h2o__2,2.8401539754,1.1245227913
abx_mega__rif_dmso__6,1.6149895905,-0.0430839778
abx_mega__sxt_dmso__4,-0.8431413599,1.1025384536
abx_mega__cip_naoh__5,0.0268268365,-0.2778481349
abx_mega__dmso-9__3,-0.9568989901,1.4959828381
abx_mega__mem_dmso__5,-0.3210396786,1.3914740486000001
abx_mega__tric_h2o__2,-0.5223947693000001,-0.1652876623
abx_mega__phos_h2o__6,0.2975645925,-0.1389714109
