,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
0,aat__00m_00s,-3.33333360913457e-11,0.52966665640753,3.0,0.0,-0.10900720900000001,6.0,-0.4666823875,12.0,0.5756895964000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,-0.7685370595,0.45634855079715814,3.0,1.0,-1.2894189086,7.0,-0.5771292739,13.0,-0.43906299600000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,-1.3823637653333334,0.13326947636259387,3.0,2.0,-1.3314668481,8.0,-1.5335813823,14.0,-1.2820430656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,-1.5407874815666667,0.30086384510225267,3.0,3.0,-1.6414269804,9.0,-1.778430962,15.0,-1.2025045023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,-0.7092961961,0.3203643701433803,3.0,4.0,-0.7973371574,10.0,-0.9764347126,16.0,-0.3541167183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,-0.013178360399999997,0.6213707133030056,3.0,5.0,-0.7275194586,11.0,0.2857756969,17.0,0.4022086805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,0.4808478865,0.4432884709067804,2.0,18.0,0.1673956027,71.0,0.7943001703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,1.7626172074666666,0.4359380154047411,3.0,19.0,2.0882712432,70.0,1.2673687101,205.0,1.9322116691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,-0.157989118075,0.6357585330915358,8.0,20.0,-0.1707421969,32.0,0.0176033489,55.0,-0.06924022810000001,67.0,-1.4045837716,126.0,0.0839150147,147.0,-0.5590494557,203.0,0.0001412197,210.0,0.8380431244000001,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,0.14116726703333338,0.6352830315712278,3.0,21.0,0.4692050077,34.0,0.5453719097,61.0,-0.5910751163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,1.4976666513,0.528660278399,8.0,22.0,0.8941465812,104.0,1.2005440401,111.0,1.9857557824,133.0,1.8908229895000002,165.0,0.7551399449,238.0,1.6149895905,265.0,1.4087586722,270.0,2.2311756096,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,1.1897518694,0.5637180568639584,7.0,23.0,0.7731237521000001,56.0,0.8485249366000001,82.0,0.8387774079,118.0,1.5479201105,134.0,2.1495242137,137.0,0.6257623095,227.0,1.5446303555,,,,,,,,,,,,,,,,,,,,,,
