,SP5448_08295
SRX1726505,0.1061586736
SRX1726506,-0.24299364550000002
SRX1726507,0.136834972
SRX1726508,-1.0653072233
SRX1726509,-0.882509851
SRX1726510,-0.5530897152
SRX1726511,-1.6096260408
SRX1726512,-1.6142709897
SRX1726513,-1.088578373
SRX1081650,-0.3148193341
SRX1081651,-0.17711411570000002
SRX1081652,0.4847524979
SRX1081653,0.0237341923
SRX1081654,-0.3649374399
SRX1081655,0.2047507593
SRX1081656,-0.022221585500000002
SRX1081657,0.1318659158
SRX1081658,0.4086510949
SRX1081659,0.0517763277
SRX1081660,0.15114700250000002
SRX1081661,-0.24310174240000001
SRX1081662,-0.0480063401
SRX1081663,-0.0281494766
SRX1081664,-0.1177247082
SRX1081665,-0.09750300120000001
SRX1081666,0.1484677287
SRX1081668,-0.0925755531
SRX1081669,0.144373526
SRX1081670,-0.1055921719
SRX1081671,-0.1377735762
SRX1081672,0.0222351356
SRX1081673,-0.653164104
SRX1081674,-0.40307708280000004
SRX1081675,-0.4487524082
SRX1081676,0.4995801811
SRX1081677,-0.27977083880000003
SRX1081678,-0.4849616453
SRX1081679,-0.3552370929
SRX1081680,-0.357350799
SRX1081681,-0.5478325338
SRX1081682,-0.39014512100000004
SRX1081683,-0.7553824985
SRX1081684,-0.5644411983000001
SRX1081685,-0.6296183964000001
SRX1081686,-0.9350021749
SRX1081687,-0.5611911233
SRX1081688,-0.7325772793
SRX1081689,-0.4923071835
SRX1081690,-0.5403390461
SRX1081691,-0.08783360280000001
SRX1081692,-0.6976942705
SRX1962715,0.0277382148
SRX1962716,-0.0916847303
SRX1962717,0.06394651550000001
SRX1962718,-0.8670870616
SRX1962719,-0.32095852480000003
SRX1962720,-0.33414200720000004
SRX1962721,-0.38832442970000003
SRX4892146,0.0216200883
SRX4892147,0.0765414405
SRX4892148,-0.0326262869
SRX4892149,-0.0655352418
SRX4892150,-0.1971459013
SRX4892151,-0.1591814761
SRX4892152,-0.2490424662
SRX4892153,-0.1936717038
SRX4892154,-0.053113069900000004
SRX4892155,-0.08291659750000001
SRX4892156,-0.1178140194
SRX4892157,-0.1569835479
SRX4892158,-0.0198554992
SRX4892159,0.06598986450000001
SRX4892160,0.221644045
SRX4892161,0.0806840266
SRX7620814,0.9675488725
SRX7620815,0.6994091081
SRX7620816,0.7416605053
SRX7620817,-0.7302571013
SRX7620818,-0.6176389061
SRX7620819,-0.7253190207
SRX7620856,-0.6426756113000001
SRX7620857,-2.5653254372000003
SRX7620858,-1.3088153366
SRX7620859,-2.5082356457
SRX7620860,-0.2254420718
SRX7620861,-2.5260151065
SRX7620862,-0.17301970400000002
SRX7620863,-0.6282828992
SRX7620864,-0.8498419053
SRX7620865,-0.6278058855
SRX7620866,-1.3857568765
SRX7620867,-1.0722312354
SRX2161502,-0.0240638526
SRX2161503,0.0629517589
SRX2161504,-0.038887906300000004
SRX2161505,-0.0569522282
SRX2161506,0.1828658021
SRX2161507,0.0986886015
SRX2161508,0.1947344196
SRX2161509,0.3582297897
SRX2161510,0.0634362899
SRX2161511,0.1798157099
SRX2161512,0.1808231147
SRX2161513,0.2260016088
SRX2161514,0.4867453532
SRX2161515,0.526292454
SRX2161516,0.51206937
SRX2161517,-0.7597615662
SRX2161518,-0.8718363610000001
SRX2161519,-0.6430966516000001
SRX2161520,0.43392955580000003
SRX2161521,0.1852711192
SRX2161522,0.3012524756
SRX2161523,-1.273221518
SRX2161524,-0.8278525533000001
SRX2161525,-1.0420319277
