,citT
Cr_1,0.0030884428091574267
Cr_2,0.010551366115524126
Cr_3,0.012935802154933573
Cr_4,0.012115100868344584
Cr_5,0.009363248536147352
Cr_6,0.0116212551104602
Fe_1,-0.012581842867333852
Fe_2,-0.032634589322787774
Fe_3,-0.046584683985315394
Fe_4,-0.06605801746716737
Fe_5,-0.0724728944829339
Fe_6,-0.07726942790921466
Cd_1,0.0027476389057967147
Cd_2,0.003979071221453051
Cd_3,0.00500985209778054
Cd_4,0.0035829872855365212
Cd_5,0.002125254637685884
Cd_6,0.0012449184390453186
Zn_1,-0.006635700828267185
Zn_2,-0.015773650182211198
Zn_3,-0.016334353593079342
Zn_4,-0.012871169651193474
Zn_5,-0.008439815512620744
Zn_6,-0.00857142919114672
Cu_1,0.005616707786636935
Cu_2,0.008408004418424287
Cu_3,0.00936142616049098
Cu_4,0.00837196502873444
Cu_5,0.013184117985738856
Cu_6,0.01637680912000754
Pb_1,0.004606421414690296
Pb_2,0.015078245267986769
Pb_3,0.019993380353478123
Pb_4,0.02450918621458835
Pb_5,0.02759346353847797
Pb_6,0.029310444525736574
