,A,KdpE
R2,,0.3638915830987185
xmin,,-4.594535039
xmid,,-0.5725536156564675
xmax,,4.651902197
ystart,,-1.5140284816299654
yend,,12.709726706497095
control__wt_glc__1,-0.2034179196244333,-0.17056909899999972
control__wt_glc__2,0.2034179196244317,0.17056909899999972
fur__wt_dpd__1,1.8158772676835837,0.971288187
fur__wt_dpd__2,2.657383748213146,1.1673526010000002
fur__wt_fe__1,-0.5447702932618401,-0.2668563129999999
fur__wt_fe__2,-0.5468801927492403,-0.06656074700000048
fur__delfur_dpd__1,1.2266514322149669,0.9942821849999994
fur__delfur_dpd__2,1.1110147675460764,0.9144804330000004
fur__delfur_fe2__1,-0.3014710806572838,0.3688621489999999
fur__delfur_fe2__2,-0.4928134391481701,-0.06465635899999977
acid__wt_ph5__1,0.0258280750130326,0.3711925620000001
acid__wt_ph5__2,-0.1504348631788211,0.4874340559999997
acid__delgadx_ph5__2,0.5805067591285294,0.5936669060000002
acid__delgadw_ph5__1,-0.6382002752925227,0.3341907620000004
acid__delgadw_ph5__2,-0.7235738557645541,0.3629278499999993
acid__delgade_ph5__1,-0.3267190449249969,0.3709457809999997
acid__delgade_ph5__2,0.0809792254563674,0.4481178789999998
oxidative__wt_pq__1,0.5576503711731887,0.943864668999999
oxidative__wt_pq__2,0.5742885452791346,0.6530916690000002
oxidative__deloxyr_pq__1,-0.6488591956704306,0.8341659510000001
oxidative__deloxyr_pq__2,-0.6186736731213385,0.8475964449999998
oxidative__delsoxr_pq__1,0.4818272070007341,0.5840767419999997
oxidative__delsoxr_pq__2,1.2987774274958213,0.6961279649999996
oxidative__delsoxs_pq__1,1.203500422710451,0.8290367689999991
oxidative__delsoxs_pq__2,1.5306501876764935,0.924708923999999
nac_ntrc__wt_csn__1,1.0035519281487055,0.7724856779999998
nac_ntrc__wt_csn__2,0.625325265618885,0.6151415920000005
nac_ntrc__wt_cytd__1,-0.5291806165628443,0.5615885120000002
nac_ntrc__wt_cytd__2,-0.6030473207505976,0.3161790010000001
nac_ntrc__wt_gln__1,-0.1767523462390655,0.917875948999999
nac_ntrc__wt_gln__2,-0.0379568093989755,0.7804096420000013
nac_ntrc__bw_delnac_csn__1,2.0723981611532025,1.21756086
nac_ntrc__bw_delnac_csn__2,3.051998605214053,1.6129159519999998
nac_ntrc__bw_delnac_cytd__1,0.2701009856524548,0.4700367209999996
nac_ntrc__bw_delnac_cytd__2,0.0550758917713842,0.4499481689999998
nac_ntrc__bw_delnac_gln__1,0.0676591413093382,0.2783356999999995
nac_ntrc__bw_delnac_gln__2,0.7437434583741112,0.4553114899999997
nac_ntrc__bw_delnac_nh4__1,1.25955715524432,0.05893271999999961
nac_ntrc__bw_delnac_nh4__2,0.5294068112014884,-0.002830292000000512
misc__wt_no_te__1,0.6167142396199352,0.3890956159999997
misc__wt_no_te__2,0.724089647405159,0.3759704299999997
misc__bw_delcbl__1,1.188215511919687,-0.001508376000000311
misc__bw_delcbl__2,1.32629425417445,0.20141939200000006
misc__bw_delfabr__1,0.9397328926640452,-0.041729317999999786
misc__bw_delfabr__2,1.0841054675885902,-0.12928183799999982
misc__bw_delfadr__1,1.3364666301612156,0.3068671749999998
misc__bw_delfadr__2,1.024293425733639,0.12668758999999952
misc__nitr_031__1,1.904019980362216,0.8892672070000014
omics__wt_glu__1,1.3148724466486583,0.5276441519999997
omics__wt_glu__2,0.9129329567064048,0.6843854429999999
omics__wt_gly__1,1.991791358055124,0.6603501820000002
omics__wt_gly__2,1.7826855143738676,0.15210062899999954
omics__wt_thr__1,0.4559153211293217,0.7195442590000001
omics__wt_thr__2,0.4956237456111438,0.8471207610000002
omics__bw_ac__1,-1.0629211260340734,0.09595106999999993
omics__bw_ac__2,-0.4150104043850217,0.35074844800000005
omics__bw_fum__1,-0.6291327778589689,0.2541039759999997
omics__bw_fum__2,-0.5259320869360437,-0.2894294820000001
omics__bw_glc__1,0.26159793672997,0.3209447719999998
omics__bw_glc__2,0.0640709837258727,0.3003246470000001
omics__bw_pyr__1,1.673058391264779,0.69827919
omics__bw_pyr__2,-0.154426481108642,-0.18838297000000012
ompr__wt_nacl__1,12.309059542057986,2.115761041
ompr__wt_nacl__2,13.211366705649857,2.382218272
ompr__bw_delompr_nacl__1,7.977770962341997,0.96723888
ompr__bw_delompr_nacl__2,8.306912638689335,1.2294308220000003
minspan__wt_ade__1,-2.308654493841177,-1.2185816220000003
