,ecfE
Cr_1,-0.0008017359297509452
Cr_2,-0.0011887430088604431
Cr_3,-0.001038575549447819
Cr_4,0.004753479139650452
Cr_5,0.004928841756796471
Cr_6,-0.0032565554344744017
Fe_1,-0.01288297305908908
Fe_2,-0.02714026933924945
Fe_3,-0.033229381470231294
Fe_4,-0.04125721449696778
Fe_5,-0.04255630503441515
Fe_6,-0.03730673130414719
Cd_1,0.003434066513268657
Cd_2,0.0076793420290198955
Cd_3,0.009411823761432849
Cd_4,0.01258581667779888
Cd_5,0.011502937959792485
Cd_6,0.014844418997714296
Zn_1,-0.1508350907445418
Zn_2,-0.21014294424978197
Zn_3,-0.22347212908069
Zn_4,0.07008527051761819
Zn_5,0.2154380801845736
Zn_6,0.40333201964286974
Cu_1,0.005215864091821094
Cu_2,0.006988664781568259
Cu_3,0.016365234827643318
Cu_4,0.02050465370345729
Cu_5,0.02465685934154665
Cu_6,0.031494448660454866
Pb_1,0.0047683628751322635
Pb_2,0.0073776312286962685
Pb_3,0.013697028874036605
Pb_4,0.013325088371590904
Pb_5,0.02340305138616262
Pb_6,0.027483752643256584
