,A,YieP
R2,,0.07533442396901147
xmin,,-6.549693526
xmid,,0.3109105882590926
xmax,,3.563063854
ystart,,0.34495999551142675
yend,,5.041175932248514
aat__00m_00s__1,0.5864495114,0.0434484812
aat__00m_30s__1,0.7863031242,-0.2032873239
aat__01m_00s__1,0.8427619190000001,-0.28263823660000004
aat__02m_00s__1,2.3667557085,-0.4357108147
aat__05m_00s__1,2.7922170492,-0.5514977114
aat__10m_00s__1,1.4744080684,-0.7942072605
aat__00m_00s__2,-0.6741709536,0.0824863611
aat__00m_30s__2,-0.6010190783,0.2256966907
aat__01m_00s__2,0.5872414415,-0.4750726589
aat__02m_00s__2,1.3373995513999999,-0.2964277322
aat__05m_00s__2,1.6106647407999999,-0.4240758812
aat__10m_00s__2,0.3760979599,-0.4232098661
aat__00m_00s__3,0.0877214422,-0.12593484230000002
aat__00m_30s__3,0.034728404000000004,-0.000107634
aat__01m_00s__3,0.403663119,-0.27396774900000004
aat__02m_00s__3,1.9818881566000002,-0.2095458276
aat__05m_00s__3,2.311495978,-0.2402888555
aat__10m_00s__3,2.4224672747,-0.3825671391
abx_mega__dmso-2__1,-0.7980780055000001,-0.7284251328
abx_mega__ery_dmso__1,-1.9862337643,-1.4454024245000001
abx_mega__nal_naoh__1,-3.3613447259,0.9475563954
abx_mega__dmso-5__1,-0.3097194039,0.3069162508
abx_mega__rif_dmso__1,0.964501853,-0.6256372873
abx_mega__novo_h2o__1,-3.54850412,0.30262184000000003
abx_mega__rach_dmso__1,4.0101252205,-1.0809413375
abx_mega__metro_dmso__1,-1.3093322897,0.2091425544
abx_mega__dmso-6__1,2.1439791352,0.1025294055
abx_mega__chl_h2o__1,-0.3924388466,-2.7951443033
abx_mega__cst_h2o__1,0.6588689085,-0.0082436148
abx_mega__tec_h2o__1,-2.346958372,-2.6989678537
abx_mega__str_h2o__1,-2.1038047922,-1.0558553648
abx_mega__ctx_h2o__1,0.13514092960000001,-0.5476660856000001
abx_mega__nal_naoh__2,-2.1457741438,1.6303057328000001
abx_mega__phos_h2o__1,1.6157700484,-1.0938876197
abx_mega__dmso-5__2,0.1925680311,0.257574154
abx_mega__polmyx_h2o__1,-0.2124737845,-0.41183765110000004
abx_mega__h2o-8b__1,-0.042905921900000005,0.0246032457
abx_mega__h2o-6__1,-1.0974520894,0.5356234862
abx_mega__thio_dmso__1,0.4964386317,-1.8705752383
abx_mega__phos_h2o__2,-0.0572742833,-0.11843124810000001
abx_mega__ctx_h2o__2,2.0770673989,-0.8818062682000001
abx_mega__lzd_dmso__1,-1.8636311206,-1.0821980679
abx_mega__naoh-9__1,1.5070145613,0.0371322671
abx_mega__dox_dmso__1,1.6529491715,-2.3293939686
abx_mega__phos_ethanol__1,0.32765733,-0.3098949346
abx_mega__teix_dmso__1,2.9956896316,-2.041717269
abx_mega__dmso-10__1,0.8214957557,-0.0743111971
abx_mega__van_dmso__1,-1.5167207178000002,-1.8259439003
abx_mega__ramo_h2o__1,-1.1843378662,-1.4347843459
abx_mega__tec_h2o__2,-2.1931888553,-1.7135017651000002
abx_mega__h2o-7__1,3.5034597838,-0.6593580962000001
abx_mega__cro_h2o__1,3.9076646171,-0.6662675698
abx_mega__tric_ethanol__1,4.1740628734,-0.2672648361
abx_mega__nor_naoh__1,-1.6183749047,1.4957466374
