,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
0,control__wt_glc,-1.304512053934559e-15,0.10613122863770386,2.0,0.0,0.075046111465379,1.0,-0.0750461114653816,,,,,,,,
1,fur__wt_dpd,-0.8931384387103658,0.031603455108931366,2.0,2.0,-0.9154854561268158,3.0,-0.8707914212939157,,,,,,,,
2,fur__wt_fe,0.48119835134277145,0.025523443044048476,2.0,4.0,0.4631505516870961,5.0,0.4992461509984467,,,,,,,,
3,fur__delfur_dpd,-1.0550615190716761,0.259699248556915,2.0,6.0,-0.8714264193480308,7.0,-1.2386966187953214,,,,,,,,
4,fur__delfur_fe2,-1.0239024573616589,0.10524321626252948,2.0,8.0,-1.0983206492547757,9.0,-0.9494842654685418,,,,,,,,
5,acid__wt_ph5,0.28395973286883747,0.20112581509759303,2.0,10.0,0.1417423051416577,11.0,0.4261771605960172,,,,,,,,
6,acid__delgadx_ph5,0.1860932657318875,,1.0,12.0,0.1860932657318875,,,,,,,,,,
7,acid__delgadw_ph5,0.2528877028118854,0.2535225975705955,2.0,13.0,0.4321552507380816,14.0,0.0736201548856892,,,,,,,,
8,acid__delgade_ph5,0.3023105228052217,0.026674398897678284,2.0,15.0,0.2834488744605984,16.0,0.321172171149845,,,,,,,,
9,oxidative__wt_pq,-0.8998937193533316,0.43902100504203584,2.0,17.0,-1.2103284491018886,18.0,-0.5894589896047746,,,,,,,,
10,oxidative__deloxyr_pq,0.3408636970930426,0.06004955815631528,2.0,19.0,0.3833251468726291,20.0,0.2984022473134561,,,,,,,,
11,oxidative__delsoxr_pq,-1.045392734052721,0.22098784364203564,2.0,21.0,-1.2016547368517967,22.0,-0.889130731253645,,,,,,,,
12,oxidative__delsoxs_pq,-1.6030253603848728,0.08171348276204443,2.0,23.0,-1.6608055181602843,24.0,-1.545245202609461,,,,,,,,
13,nac_ntrc__wt_csn,-0.22945679055447374,0.34234999273445194,2.0,25.0,0.0126212108472225,26.0,-0.47153479195617,,,,,,,,
14,nac_ntrc__wt_cytd,0.08507258868680334,0.26850973731352495,2.0,27.0,0.2749376447558154,28.0,-0.1047924673822087,,,,,,,,
15,nac_ntrc__wt_gln,-0.39405348515717564,0.10818132855791768,2.0,29.0,-0.4705492361782491,30.0,-0.3175577341361021,,,,,,,,
16,nac_ntrc__bw_delnac_csn,-0.7508639029975059,0.6158430407952173,2.0,31.0,-1.1863306932903477,32.0,-0.3153971127046641,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,0.3536971685500486,0.2987009026624762,2.0,33.0,0.1424837347308689,34.0,0.5649106023692284,,,,,,,,
18,nac_ntrc__bw_delnac_gln,0.23949589484078854,0.16163723092981486,2.0,35.0,0.1252011127581005,36.0,0.3537906769234766,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,0.4685214256898401,0.2406097680147249,2.0,37.0,0.2983846271069061,38.0,0.6386582242727742,,,,,,,,
20,misc__wt_no_te,-0.7739412625082396,0.05981295083801645,2.0,39.0,-0.8162354056485787,40.0,-0.7316471193679006,,,,,,,,
21,misc__bw_delcbl,-0.1606582311738597,0.10049259919934321,2.0,41.0,-0.2317172295267771,42.0,-0.0895992328209423,,,,,,,,
22,misc__bw_delfabr,0.11022927111297119,0.26980421722565784,2.0,43.0,-0.0805511204800198,44.0,0.3010096627059622,,,,,,,,
23,misc__bw_delfadr,-0.41151407155573716,0.22745503142825213,2.0,45.0,-0.5723490666936535,46.0,-0.2506790764178208,,,,,,,,
24,misc__nitr_031,0.3408473546809372,,1.0,47.0,0.3408473546809372,,,,,,,,,,
25,omics__wt_glu,-0.8959354164551276,0.149469616604456,2.0,48.0,-1.0016263959374918,49.0,-0.7902444369727634,,,,,,,,
26,omics__wt_gly,-0.1477399466259066,0.5121003265313161,2.0,50.0,0.2143696669122323,51.0,-0.5098495601640455,,,,,,,,
27,omics__wt_thr,-3.0193602384560423,0.9151095627440321,2.0,52.0,-3.666440415801004,53.0,-2.372280061111081,,,,,,,,
28,omics__bw_ac,-0.25668600891488474,0.49079145475783664,2.0,54.0,0.0903559568927922,55.0,-0.6037279747225617,,,,,,,,
29,omics__bw_fum,-1.4990705210874513,0.06480873717163577,2.0,56.0,-1.453243823553251,57.0,-1.5448972186216516,,,,,,,,
30,omics__bw_glc,-2.0280195088156328,0.5272374423076079,2.0,58.0,-2.4008326795667934,59.0,-1.655206338064472,,,,,,,,
31,omics__bw_pyr,-0.715746830575686,0.041102393036551735,2.0,60.0,-0.6866830497365456,61.0,-0.7448106114148265,,,,,,,,
32,ompr__wt_nacl,-0.053933955283828,0.11915570484732095,2.0,62.0,0.0303218516307754,63.0,-0.1381897621984314,,,,,,,,
33,ompr__bw_delompr_nacl,-0.07875277902237984,0.03091509161172988,2.0,64.0,-0.1006130499420374,65.0,-0.0568925081027223,,,,,,,,
34,minspan__wt_ade,-1.8885400617983727,,1.0,66.0,-1.8885400617983727,,,,,,,,,,
35,minspan__wt_glc,-0.7570778884056816,0.33088734446150386,3.0,67.0,-0.5477498678433779,68.0,-1.138550080611405,69.0,-0.5849337167622619,,,,,,
36,minspan__wt_glc_anaero,-1.967106582113789,0.27048675879496514,2.0,70.0,-2.158369603478879,71.0,-1.775843560748699,,,,,,,,
37,minspan__wt_trp,-0.4400909941795909,,1.0,72.0,-0.4400909941795909,,,,,,,,,,
38,minspan__bw_delcra_glc,0.0600926559065936,,1.0,73.0,0.0600926559065936,,,,,,,,,,
39,minspan__bw_delcra_trp,-1.3365791239994378,,1.0,74.0,-1.3365791239994378,,,,,,,,,,
40,minspan__bw_delmntr,1.284166169026019,,1.0,75.0,1.284166169026019,,,,,,,,,,
41,minspan__bw_delnac_ade,-0.6916564361002722,,1.0,76.0,-0.6916564361002722,,,,,,,,,,
42,minspan__bw_delnac_glc,-1.166018691118653,,1.0,77.0,-1.166018691118653,,,,,,,,,,
43,cra_crp__wt_ac,-0.28270793320223336,0.35708866615236495,2.0,78.0,-0.0302081158810369,79.0,-0.5352077505234298,,,,,,,,
44,cra_crp__wt_fru,-0.6386742631126461,0.2305028519710073,2.0,80.0,-0.4756841334011079,81.0,-0.8016643928241843,,,,,,,,
45,cra_crp__delcra_ac,-0.6897472611060522,0.007914897076757547,2.0,82.0,-0.6841505837106834,83.0,-0.6953439385014211,,,,,,,,
46,cra_crp__delcra_fru,-0.26917255199692985,0.007204364071127628,2.0,84.0,-0.2640782973080988,85.0,-0.2742668066857609,,,,,,,,
47,cra_crp__delcra_glc,0.6185826405660325,0.12185616691982545,2.0,86.0,0.5324173186076241,87.0,0.7047479625244409,,,,,,,,
48,rpoB__wt_031,0.6367515946359392,,1.0,88.0,0.6367515946359392,,,,,,,,,,
49,rpoB__wt_044,0.5786186315100526,,1.0,89.0,0.5786186315100526,,,,,,,,,,
50,rpoB__wt_lb,2.9177419003643372,0.3004850433106807,2.0,90.0,2.7052668885942217,91.0,3.130216912134453,,,,,,,,
51,rpoB__rpoBE546V_031,0.0914351864599255,,1.0,92.0,0.0914351864599255,,,,,,,,,,
52,rpoB__rpoBE546V_044,0.1911574369097855,,1.0,93.0,0.1911574369097855,,,,,,,,,,
53,rpoB__rpoBE546V_lb,1.5451242755365446,0.1558404146971506,2.0,94.0,1.6553200895518234,95.0,1.4349284615212656,,,,,,,,
54,rpoB__rpoBE546V_glc,0.9220121628762198,,1.0,96.0,0.9220121628762198,,,,,,,,,,
55,rpoB__rpoBE672K_glc,0.6821597107469958,0.08971371090546006,2.0,97.0,0.7455968840936561,98.0,0.6187225374003354,,,,,,,,
56,rpoB__rpoBE672K_lb,1.4433801129156125,0.06562165025689524,2.0,99.0,1.489781626804915,100.0,1.39697859902631,,,,,,,,
57,crp__wt_fru,0.3720424084053393,,1.0,101.0,0.3720424084053393,,,,,,,,,,
58,crp__wt_glyc,0.143327759221032,0.12299545701696418,2.0,102.0,0.2302986809328659,103.0,0.0563568375091981,,,,,,,,
59,crp__delar1_glyc,0.4494682131921797,0.6259487120937987,2.0,104.0,0.0068556341956688,105.0,0.8920807921886906,,,,,,,,
60,crp__delar1ar2_glyc,-0.2160021886484259,0.19749367330145604,3.0,106.0,0.0098596412483374,107.0,-0.3562016998361891,108.0,-0.301664507357426,,,,,,
61,crp__delar2_glyc,2.6565507788289633,0.41283221698603373,3.0,109.0,2.191422666012397,110.0,2.798713959232762,111.0,2.9795157112417314,,,,,,
62,crp__delcrp_fru,-0.46741493204772394,0.26024667889789754,3.0,112.0,-0.1869134932097712,113.0,-0.5142978787356126,114.0,-0.7010334241977881,,,,,,
63,crp__delcrp_glc,-0.9670405322370574,0.3100850194317487,3.0,115.0,-0.8379340591656751,116.0,-0.7423683234290007,117.0,-1.3208192141164965,,,,,,
64,crp__delcrp_glyc,-0.9096276436196473,0.25484058093573686,3.0,118.0,-1.0114007348813363,119.0,-1.0978548786726936,120.0,-0.6196273173049122,,,,,,
65,glu__glu_ale3,-0.7951855021750385,,1.0,121.0,-0.7951855021750385,,,,,,,,,,
66,glu__glu_ale4,0.1366944034810977,,1.0,122.0,0.1366944034810977,,,,,,,,,,
67,glu__glu_ale5,-0.4590769219939863,,1.0,123.0,-0.4590769219939863,,,,,,,,,,
68,glu__glu_ale6,-0.5190951421894004,,1.0,124.0,-0.5190951421894004,,,,,,,,,,
69,glu__glu_ale8,-0.9037067215761774,,1.0,125.0,-0.9037067215761774,,,,,,,,,,
70,glu__glu_ale9,-0.8755097122958737,,1.0,126.0,-0.8755097122958737,,,,,,,,,,
71,glu__glu_ale10,-0.7362373256435508,,1.0,127.0,-0.7362373256435508,,,,,,,,,,
72,42c__wt_42c,-0.6195434936580244,,1.0,128.0,-0.6195434936580244,,,,,,,,,,
73,42c__42c_ale1,0.496809466307136,,1.0,129.0,0.496809466307136,,,,,,,,,,
74,42c__42c_ale2,-0.9224245234912268,,1.0,130.0,-0.9224245234912268,,,,,,,,,,
75,42c__42c_ale3,0.5668473956470453,,1.0,131.0,0.5668473956470453,,,,,,,,,,
76,42c__42c_ale4,-1.821396001578003,,1.0,132.0,-1.821396001578003,,,,,,,,,,
77,42c__42c_ale5,0.4918281187128047,,1.0,133.0,0.4918281187128047,,,,,,,,,,
78,42c__42c_ale6,0.1082944120878389,,1.0,134.0,0.1082944120878389,,,,,,,,,,
79,42c__42c_ale8,-0.1035620213551268,,1.0,135.0,-0.1035620213551268,,,,,,,,,,
80,42c__42c_ale9,-0.6438591030664267,,1.0,136.0,-0.6438591030664267,,,,,,,,,,
81,42c__42c_ale10,-0.5960648277533493,,1.0,137.0,-0.5960648277533493,,,,,,,,,,
82,ssw__wt_ac,-2.0401727449103504,,1.0,138.0,-2.0401727449103504,,,,,,,,,,
83,ssw__wt_glc,0.247057615153746,,1.0,139.0,0.247057615153746,,,,,,,,,,
84,ssw__wt_glyc,1.5246132386898137,,1.0,140.0,1.5246132386898137,,,,,,,,,,
85,ssw__wt_xyl,0.5050231272597435,,1.0,141.0,0.5050231272597435,,,,,,,,,,
86,ssw__glc_ale1,1.5195570099713538,,1.0,142.0,1.5195570099713538,,,,,,,,,,
87,ssw__glc_ale2,1.0006900275665391,,1.0,143.0,1.0006900275665391,,,,,,,,,,
88,ssw__glc_ale3,0.7366050725319081,,1.0,144.0,0.7366050725319081,,,,,,,,,,
89,ssw__glyc_ale1,1.761601383374547,,1.0,145.0,1.761601383374547,,,,,,,,,,
90,ssw__glyc_ale2,0.6161688932943011,,1.0,146.0,0.6161688932943011,,,,,,,,,,
91,ssw__xyl_ale1,-0.3978638485617979,,1.0,147.0,-0.3978638485617979,,,,,,,,,,
92,ssw__xyl_ale2,-0.2202830809604525,,1.0,148.0,-0.2202830809604525,,,,,,,,,,
93,ssw__xyl_ale3,1.5273389488548188,,1.0,149.0,1.5273389488548188,,,,,,,,,,
94,ssw__glc_ac_ac2,-0.4031511881174154,,1.0,150.0,-0.4031511881174154,,,,,,,,,,
95,ssw__glc_ac_glc1,0.8611083939792945,,1.0,151.0,0.8611083939792945,,,,,,,,,,
96,ssw__glc_glyc_glc,0.9838162127316354,,1.0,152.0,0.9838162127316354,,,,,,,,,,
97,ssw__glc_glyc_glyc,0.5443176332405173,,1.0,153.0,0.5443176332405173,,,,,,,,,,
98,ssw__glc_xyl_glc,0.9944951219997938,,1.0,154.0,0.9944951219997938,,,,,,,,,,
99,ssw__glc_xyl_xyl,-0.0439852249028998,,1.0,155.0,-0.0439852249028998,,,,,,,,,,
100,ica__wt_glc,-0.6984987358024745,1.0048601301915778,6.0,156.0,-1.2825040075119156,157.0,-0.7291958124980431,158.0,-0.9062198254179072,159.0,-2.092788071609118,180.0,0.0474929353191894,181.0,0.7722223669029481
101,ica__arg_sbt,-0.5335300012848905,0.3756800944226031,2.0,160.0,-0.7991759436079156,161.0,-0.2678840589618653,,,,,,,,
102,ica__cytd_rib,-0.8079478354218257,0.31762362157915935,2.0,162.0,-0.5833540187381723,163.0,-1.032541652105479,,,,,,,,
103,ica__gth,-0.331327482862834,0.12873890513826106,2.0,164.0,-0.2402953300370379,165.0,-0.42235963568863,,,,,,,,
104,ica__leu_glcr,-1.3500879919930302,0.05437135858330905,2.0,166.0,-1.311641635636447,167.0,-1.3885343483496135,,,,,,,,
105,ica__met_glc,-1.2311406132093137,0.09136428062440174,2.0,168.0,-1.1665363108215685,169.0,-1.2957449155970588,,,,,,,,
